time,Bio1_1,Bio1_2,Bio2_1,Bio2_2,Bio3_1,Bio3_2,Bio4_1,Bio4_2,Bio5_1,Bio5_2
0,0.052,0.06,0.064,0.058,0.054,0.054,0.067,0.058,0.071,0.07
0.5,0.07,0.09,0.085,0.077,0.077,0.074,0.08,0.078,0.078,0.078
1,0.085,0.107,0.108,0.096,0.096,0.094,0.104,0.099,0.083,0.094
1.5,0.11,0.129,0.173,0.143,0.107,0.11,0.116,0.118,0.091,0.116
2,0.132,0.16,0.224,0.177,0.133,0.138,0.152,0.151,0.098,0.138
2.5,0.158,0.177,0.276,0.227,0.175,0.181,0.204,0.207,0.111,0.166
3,0.199,0.238,0.4,0.295,0.243,0.243,0.293,0.297,0.121,0.199
3.5,0.248,0.301,0.493,0.369,0.323,0.332,0.4,0.394,0.137,0.236
4,0.313,0.361,,0.473,0.471,0.483,0.522,0.512,0.139,0.303
4.5,0.402,0.472,,,,,,,0.142,0.326
5,,,,,,,,,0.167,0.41
5.5,,,,,,,,,0.185,0.475
6,,,,,,,,,0.209,
6.5,,,,,,,,,0.25,
7,,,,,,,,,0.3,
7.5,,,,,,,,,0.401,
8,,,,,,,,,0.439,
