osm,salt,avg,stdev
73,NaCl,0.454366667,0.013848546
113,NaCl,0.5085,0.016787694
173,NaCl,0.595283333,0.022676083
273,NaCl,0.634666667,0.022953552
373,NaCl,0.648233333,0.019620964
473,NaCl,0.634416667,0.040202463
573,NaCl,0.6084,0.027733313
673,NaCl,0.585083333,0.020325306
773,NaCl,0.55022,0.0319959
873,NaCl,0.505766667,0.010451581
73,KCl,0.4083,0.011030564
113,KCl,0.48265,0.044700513
173,KCl,0.534216667,0.02131552
273,KCl,0.57455,0.04825
373,KCl,0.56995,0.022496203
473,KCl,0.54258,0.013696335
573,KCl,0.516175,0.018403991
673,KCl,0.498316667,0.005435506
773,KCl,0.471583333,0.007325166
873,KCl,0.43675,0.023975178
