A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11
0.0873,0.0907,0.0894,0.0891,0.0889,0.0901,0.0888,0.0882,0.0897,0.0894,0.1393,0.1412,0.1416,0.1417,0.1408,0.1403,0.137,0.1412,0.1426,0.1424,0.1391,0.1411,0.1418,0.142,0.1406,0.1462,0.1588,0.1415,0.1422,0.135,0.1407,0.1381,0.1398,0.1412,0.1434,0.1667,0.1653,0.1414,0.1438,0.1388,0.1418,0.1398,0.1403,0.1421,0.1439,0.1517,0.1393,0.1408,0.1399,0.1439,0.1416,0.1421,0.1417,0.1409,0.1436,0.1413,0.1395,0.1408,0.1409,0.141,0.1462,0.1443,0.1418,0.1439,0.1484,0.1427,0.146,0.1442,0.1414,0.1465
0.0874,0.0907,0.0897,0.0893,0.0893,0.0904,0.0894,0.0885,0.0899,0.0896,0.1499,0.151,0.1518,0.1525,0.1521,0.1524,0.1486,0.1494,0.1518,0.1509,0.1606,0.1507,0.1511,0.1504,0.1498,0.1554,0.1665,0.1495,0.1484,0.1447,0.1492,0.1459,0.1486,0.1507,0.1533,0.1827,0.1733,0.1495,0.1519,0.1505,0.1819,0.1467,0.1466,0.1478,0.1495,0.163,0.1501,0.1514,0.149,0.1531,0.1503,0.1504,0.1479,0.1476,0.1495,0.1521,0.1508,0.1516,0.1506,0.15,0.1702,0.1532,0.1486,0.1498,0.1516,0.1503,0.1538,0.1519,0.1493,0.1551
0.0876,0.0909,0.0898,0.0893,0.0891,0.0902,0.0892,0.0885,0.0902,0.089,0.156,0.1624,0.1685,0.1699,0.1672,0.1647,0.1601,0.1606,0.1593,0.1567,0.1544,0.1614,0.1671,0.1664,0.1646,0.1684,0.1782,0.1588,0.1573,0.1518,0.1562,0.1573,0.1637,0.1663,0.1683,0.192,0.1839,0.1586,0.1583,0.1561,0.1981,0.1572,0.1556,0.1555,0.1537,0.1705,0.1631,0.1666,0.1636,0.168,0.1606,0.1655,0.1565,0.1543,0.1545,0.1601,0.1628,0.1661,0.1634,0.1648,0.19,0.162,0.1584,0.1578,0.1552,0.1562,0.1664,0.1666,0.1626,0.1689
0.0875,0.0908,0.0897,0.0892,0.0889,0.0896,0.0896,0.0888,0.0893,0.0897,0.1652,0.1745,0.1822,0.1875,0.1835,0.1771,0.1728,0.1728,0.17,0.1661,0.1646,0.1729,0.184,0.1845,0.1811,0.1768,0.1857,0.1667,0.1639,0.1582,0.1648,0.1682,0.1787,0.1856,0.1866,0.202,0.1934,0.1697,0.1688,0.1635,0.1708,0.1649,0.1637,0.1626,0.1617,0.1801,0.1713,0.1814,0.1797,0.1838,0.171,0.168,0.1652,0.1622,0.1621,0.1686,0.1735,0.18,0.1788,0.1803,0.174,0.1717,0.1664,0.1643,0.1636,0.1667,0.1745,0.1797,0.1781,0.1839
0.0876,0.091,0.0899,0.0894,0.0892,0.0899,0.0894,0.089,0.0897,0.0897,0.1739,0.1894,0.1967,0.2024,0.1992,0.1914,0.1854,0.1836,0.1812,0.174,0.1737,0.1897,0.1953,0.2013,0.197,0.1915,0.1988,0.1781,0.1746,0.1679,0.1731,0.1839,0.1913,0.2048,0.1989,0.2142,0.2062,0.1794,0.1775,0.1721,0.1847,0.1771,0.1752,0.173,0.1711,0.1895,0.187,0.1928,0.1971,0.1984,0.1845,0.181,0.1768,0.1732,0.1713,0.1769,0.1908,0.194,0.1932,0.1931,0.1875,0.1837,0.1777,0.1744,0.1725,0.176,0.1913,0.1912,0.1946,0.1974
0.0876,0.0909,0.0898,0.0891,0.0888,0.0901,0.0895,0.089,0.0894,0.0892,0.1825,0.2025,0.2129,0.2176,0.2139,0.2056,0.1985,0.1953,0.1912,0.1819,0.1832,0.2037,0.2131,0.2136,0.2087,0.2058,0.2121,0.1896,0.1848,0.1772,0.1823,0.1967,0.2076,0.2148,0.2136,0.2286,0.2194,0.1913,0.1875,0.1807,0.1985,0.1905,0.1873,0.1833,0.1802,0.1995,0.2013,0.2093,0.2125,0.2162,0.1983,0.1938,0.1881,0.1841,0.181,0.187,0.2036,0.2104,0.2101,0.2108,0.2013,0.1967,0.1899,0.1849,0.1814,0.1854,0.2059,0.2071,0.2082,0.2113
0.0874,0.0911,0.0898,0.0892,0.0887,0.0899,0.0896,0.0892,0.0893,0.089,0.192,0.2159,0.233,0.2353,0.231,0.2205,0.2134,0.2095,0.2033,0.19,0.1929,0.2177,0.2332,0.2327,0.2251,0.2204,0.2252,0.201,0.1953,0.187,0.1916,0.2105,0.2262,0.2327,0.2309,0.2432,0.2331,0.2035,0.198,0.1908,0.213,0.2041,0.1984,0.1945,0.1901,0.21,0.2173,0.2278,0.2256,0.228,0.2116,0.2072,0.2006,0.1954,0.1907,0.1982,0.2189,0.2287,0.2264,0.2228,0.2152,0.2096,0.2024,0.196,0.1902,0.1964,0.2231,0.2258,0.2234,0.2268
0.0878,0.0907,0.0897,0.0888,0.0891,0.0905,0.0892,0.0889,0.0895,0.0895,0.202,0.2307,0.2569,0.2587,0.2521,0.2376,0.229,0.2238,0.2158,0.1993,0.2032,0.2325,0.2577,0.2544,0.2437,0.2362,0.2399,0.2136,0.2065,0.1971,0.2026,0.2251,0.2505,0.255,0.2506,0.2594,0.2477,0.2166,0.209,0.2013,0.2308,0.2198,0.2109,0.2059,0.1993,0.2216,0.2359,0.249,0.2462,0.2487,0.2267,0.2226,0.214,0.2075,0.2008,0.2112,0.2372,0.2521,0.2454,0.2416,0.2322,0.225,0.2162,0.2086,0.2001,0.2081,0.2401,0.2473,0.2428,0.2461
0.0877,0.0909,0.0899,0.089,0.0889,0.0904,0.0893,0.0888,0.0897,0.0894,0.2145,0.2451,0.28,0.2821,0.278,0.2585,0.2523,0.2425,0.2327,0.2109,0.2163,0.2482,0.2831,0.2787,0.2677,0.2566,0.2573,0.2288,0.2182,0.2091,0.2157,0.2404,0.2721,0.2823,0.2761,0.2782,0.2657,0.2329,0.2222,0.2135,0.2515,0.2379,0.2268,0.2179,0.2102,0.2349,0.2578,0.2743,0.2714,0.2739,0.2438,0.2386,0.2284,0.2215,0.2112,0.2262,0.2584,0.2808,0.27,0.2643,0.2511,0.2422,0.2298,0.2212,0.2096,0.2213,0.2606,0.2698,0.2674,0.2683
0.0873,0.0906,0.0894,0.0893,0.089,0.0898,0.0893,0.0884,0.0898,0.0897,0.2287,0.2621,0.2955,0.3136,0.3065,0.283,0.2754,0.2656,0.2519,0.2247,0.2311,0.2647,0.305,0.311,0.2948,0.2802,0.2783,0.2459,0.232,0.2256,0.2309,0.2571,0.2917,0.3129,0.3066,0.3012,0.2896,0.2526,0.2379,0.2303,0.2765,0.2618,0.2483,0.2336,0.2252,0.2503,0.2832,0.2998,0.3038,0.3079,0.2665,0.2604,0.2439,0.2388,0.2229,0.2432,0.2841,0.3057,0.3009,0.2916,0.2714,0.2619,0.2487,0.2381,0.2204,0.2368,0.2839,0.2992,0.2977,0.2965
