NaCl,CTRL_mean,CTRL_std,PGL_mean,PGL_std,EDD_mean,EDD_std,GND_mean,GND_std,WT_mean,WT_std,PGL_2_mean,PGL_2_std
0,0.373483333,0.006224526,0.40207039,0.027517085,0.377128414,0.016093547,0.37282015,0.007965352,0.389877341,0.01975241,0.398303872,0.024625974
20,0.504533333,0.013027108,0.469584231,0.015166937,0.442065263,0.020252967,0.431216418,0.007900058,0.456171476,0.023928476,0.501918771,0.006957898
40,0.541833333,0.017679712,0.55189043,0.032372187,0.48052133,0.019504722,0.455453041,0.00601452,0.516089082,0.026996361,0.480842845,0.01018589
60,0.5603,0.01168218,0.520577352,0.050671454,0.534944444,0.010946373,0.485270358,0.00962639,0.532612999,0.018930472,0.494237991,0.018654513
80,0.585033333,0.005018189,0.474652941,0.0313959,0.555846189,0.011486855,0.525557511,0.032698584,0.566432291,0.024851682,0.508792817,0.028023284
100,0.567583333,0.019199255,0.512797572,0.007111711,0.55548473,0.012968368,0.54643285,0.026411508,0.57008151,0.017300296,0.535213356,0.019965874
120,0.575433333,0.010904994,0.518465389,0.026452713,0.566815676,0.020078292,0.558350128,0.028053703,0.584502325,0.016273492,0.540154602,0.029479022
140,0.58015,0.017454679,0.511095071,0.011564905,0.570037374,0.016025996,0.552846629,0.023499257,0.583638036,0.015399403,0.542305892,0.01362608
160,0.568933333,0.013856006,0.505901367,0.009328315,0.563421107,0.014928138,0.531323157,0.005118108,0.580693053,0.019666237,0.529532604,0.010906719
180,0.5632,0.008591663,0.501858467,0.019045291,0.551555831,0.014784928,0.505848168,0.009953704,0.554463495,0.019908668,0.504322166,0.013193152
