Name,Formula,Area_Blank,Area_1_2,Area_1_1,Area_100_2,Area_100_1,Area_25_2,Area_25_1,Area_873_2,Area_873_1,Area_50_2,Area_50_1,Area_Std1,Area_Std2,Area_Std3,Group_Area_NaCl_1,Group_Area_NaCl_25,Group_Area_NaCl_50,Group_Area_NaCl_100,Group_Area_NaCl_400,Group_Area_Std1,Group_Area_Std2,Group_Area_Std3,Ratio_NaCl_1,Ratio_NaCl_25,Ratio_NaCl_50,Ratio_NaCl_100,Ratio_NaCl_400,Ratio_Std1,Ratio_Std2,Ratio_Std3
Aspartic Acid,C4 H7 N O4,17887.61932,22636474.26,23206141,18009984.65,8049992.094,13431170.24,13614277.47,649433.5205,2057385.193,17572390.71,14086340.73,789256145.9,149600226.6,14413425.66,22921307.63,13522723.86,15829365.72,13029988.37,1353409.357,789256145.9,149600226.6,14413425.66,932.557,550.174,644.02,530.127,55.064,32111.013,6086.509,586.413
Citric Acid,C6 H8 O7,167011.6114,5700307.789,3838119.353,359910.9881,4660746.335,584162.4478,3727485.737,2323672.009,3647057.013,1905804.372,1936620.567,1777429678,480524329.8,21170888.59,4769213.571,2155824.092,1921212.469,2510328.661,2985364.511,1777429678,480524329.8,21170888.59,31.23,14.117,12.58,16.438,19.549,11638.973,3146.571,138.631
Aspartic Acid,C4 H7 N O4,18350.05112,39326990.87,45491460.16,23260242.53,10848976.05,22696067.25,12452060.14,62657664.57,83823216.85,22768559.51,9835854.779,850561143.9,43808594.49,12207759.76,42409225.52,17574063.7,16302207.14,17054609.29,73240440.71,850561143.9,43808594.49,12207759.76,1991.258,825.163,765.444,800.772,3438.89,39936.76,2056.964,573.196
Alanine,C3 H7 N O2,206790.1164,49294567.81,31520722.92,15232251.62,11517057.34,12548497.11,12600221.32,5294965.631,9046294.884,19168342.44,10170339.91,268623909,35836120.73,5260832.537,40407645.36,12574359.21,14669341.17,13374654.48,7170630.257,268623909,35836120.73,5260832.537,265.741,82.695,96.473,87.958,47.158,1766.604,235.676,34.598
Aspartic Acid,C4 H7 N O4,34032.10738,285090703.6,328865815,499189943,686547929.4,495681862.9,495214468.1,688394.6756,56130234.12,455960117,566845806.7,13798035.71,2047820.299,306334.9461,306978259.3,495448165.5,511402961.9,592868936.2,28409314.4,13798035.71,2047820.299,306334.9461,9809.281,15831.709,16341.534,18944.723,907.8,440.907,65.437,9.789
Aspartic Acid,C4 H7 N O4,12684.52591,18628983.4,24078260.61,59714911.15,83484635.59,32118147.01,36873842.92,156760.5886,381354.9196,49521918.93,39580309.93,2599280.653,245528.9755,41778.89396,21353622.01,34495994.96,44551114.43,71599773.37,269057.7541,2599280.653,245528.9755,41778.89396,1717.682,2774.853,3583.685,5759.476,21.643,209.086,19.75,3.361
Glutamine,C5 H10 N2 O3,49329.07751,5261778.443,9078731.615,23855910.69,5103376.034,3321350.498,2981096.547,2972704.432,3782479.078,11226479.68,10448216.43,771307023.9,49195727.72,4905322.246,7170255.029,3151223.523,10837348.05,14479643.36,3377591.755,771307023.9,49195727.72,4905322.246,389.942,171.374,589.371,787.451,183.685,41946.223,2675.426,266.768
6-phosphogluconate,C6 H13 O10 P,21143.56435,258829.3858,25084.54211,28870.04789,140740.8008,133670.9287,177840.0411,48409.74623,27677.77704,25872.94654,25500.88527,979405235.9,145706063.2,21776848.74,141956.964,155755.4849,25686.9159,84805.42436,38043.76163,979405235.9,145706063.2,21776848.74,6.994,7.674,1.266,4.178,1.874,48256.646,7179.139,1072.975
Glutamic Acid,C5 H9 N O4,131820.2827,1014847408,1048996472,1510732400,486031591.6,663458914.8,783482888.6,58089122.38,262692102.6,1121899187,1082223843,8983963836,2251053264,291697371.8,1031921940,723470901.7,1102061515,998381996,160390612.5,8983963836,2251053264,291697371.8,11994.371,8409.142,12809.627,11604.525,1864.273,104423.592,26164.739,3390.495
Malic Acid,C4 H6 O5,34778.36898,85894194.38,150088883.6,44312231.09,106222176.3,221108814.1,244237507.2,20209193.7,456843.1554,53653592.18,1058984.258,4454431461,536872664.7,124050388,117991539,232673160.6,27356288.22,75267203.69,10333018.43,4454431461,536872664.7,124050388,1733.226,3417.832,401.848,1105.631,151.786,65432.978,7886.344,1822.227
Valine,C5 H11 N O2,690829.8307,120551613.3,108717944.6,213409960.3,428701389.3,125682801,272524830,5079515.202,24119686.73,77407079.83,70994751.63,2770052909,359623232.2,51729004.6,114634779,199103815.5,74200915.73,321055674.8,14599600.96,2770052909,359623232.2,51729004.6,726.096,1261.122,469.988,2033.564,92.474,17545.491,2277.85,327.651
