Name,Formula,Area_Blank,Area_1_2,Area_1_1,Area_100_2,Area_100_1,Area_25_2,Area_25_1,Area_873_2,Area_873_1,Area_50_2,Area_50_1,Area_Std1,Area_Std2,Area_Std3,Group_Area_NaCl_1,Group_Area_NaCl_25,Group_Area_NaCl_50,Group_Area_NaCl_100,Group_Area_NaCl_400,Group_Area_Std1,Group_Area_Std2,Group_Area_Std3,Ratio_NaCl_1,Ratio_NaCl_25,Ratio_NaCl_50,Ratio_NaCl_100,Ratio_NaCl_400,Ratio_Std1,Ratio_Std2,Ratio_Std3
Propionic acid,C3 H6 O2,16218.38289,7709380.51,7832342.033,2963436.262,2607415.308,1991420.587,6927449.897,540229.5312,1179655.125,3775443.363,4026173.318,148374.5356,261714.3197,182045.1699,7770861.271,4459435.242,3900808.341,2785425.785,859942.3282,148374.5356,261714.3197,182045.1699,33.208,19.057,16.67,11.903,3.675,0.634,1.118,0.778
Metaphosphoric acid (HPO3),H2 O3 P,102323.4585,318628074.3,308795621.8,310193732,390359500.9,396006340.7,361934666.2,9418254.579,5056545.886,266838270.1,279393797.6,2075591.75,294271968.5,465518584.4,313711848.1,378970503.4,273116033.9,350276616.4,7237400.233,2075591.75,294271968.5,465518584.4,3023.738,3652.739,2632.452,3376.171,69.758,20.006,2836.365,4486.94
"1,2-Dihydropyrimidine",C4 H6 N2,654603.0847,972568.0709,883428.1098,931594.7,804754.186,1013281.59,922137.5196,275626.1133,409077.1924,1007540.236,1025184.315,927015.953,13697925.77,11771849.27,927998.0904,967709.5547,1016362.276,868174.443,342351.6528,927015.953,13697925.77,11771849.27,2.286,2.384,2.504,2.139,0.843,2.284,33.744,28.999
,C4 H5 N O,218076.0066,16364404.44,12087055.3,66171953.52,76486943.42,32594694.98,28579852.77,24960531.18,28812096.85,38119301.25,42810491.37,17750881.17,146883025.9,68660630.63,14225729.87,30587273.87,40464896.31,71329448.47,26886314.01,17750881.17,146883025.9,68660630.63,70.643,151.892,200.942,354.211,133.513,88.148,729.398,340.958
,C4 H5 N O,222752.4253,4761637.41,4299354.514,5120153.235,3528487.96,3418199.773,2950487.826,24960531.18,28812096.85,6205107.61,5331626.445,352992585.8,2614334.093,1069363.499,4530495.962,3184343.799,5768367.027,4324320.598,26886314.01,352992585.8,2614334.093,1069363.499,20.981,14.747,26.713,20.026,124.51,1634.698,12.107,4.952
dehydroalanine,C3 H5 N O2,6292.189338,5239129.418,5286225.717,28559459.17,26514401.71,13033467.83,11941520.06,3049978.532,4163201.097,14408741.18,12992686.7,46436.2425,6023243.157,2602003.725,5262677.568,12487493.94,13700713.94,27536930.44,3606589.814,46436.2425,6023243.157,2602003.725,438.842,1041.303,1142.471,2296.241,300.745,3.872,502.264,216.975
Pyruvic acid,C3 H4 O3,1234646.649,67462156.4,32633817.75,827475162,657635271.2,225655237.2,283294316.1,41141180.19,12119577.48,217853352.5,178699231.4,10668017885,3970409468,774957691.2,50047987.08,254474776.7,198276291.9,742555216.6,26630378.84,10668017885,3970409468,774957691.2,60.605,308.153,240.1,899.189,32.248,12918.312,4807.921,938.426
putrescine,C4 H12 N2,82069.43887,14371.35756,14500.50812,25552248.37,26234885.31,2951627.481,4843689.758,811913.881,358624.1417,5641099.555,4511235.131,96828.89481,82396.05935,48895.21421,14435.93284,3897658.619,5076167.343,25893566.84,585269.0113,96828.89481,82396.05935,48895.21421,0.125,33.872,44.114,225.026,5.086,0.841,0.716,0.425
putrescine,C4 H12 N2,120366.0341,334179.0544,122943.8377,1469628.115,1723670.813,19333376.95,20684925.24,1596134.915,587456.8116,25144449.68,30029536.33,132449.8123,132309.4172,149246.815,228561.446,20009151.1,27586993.01,1596649.464,1091795.863,132449.8123,132309.4172,149246.815,3.246,284.155,391.771,22.674,15.505,1.881,1.879,2.119
Alanine,C3 H7 N O2,69261.20967,1170440.799,1387768.031,17709352.54,23654021.63,4794686.586,4662233.339,1933267.518,3753941.29,7313124.855,8833365.336,281340.4817,878710.9528,178682.466,1279104.415,4728459.963,8073245.095,20681687.09,2843604.404,281340.4817,878710.9528,178682.466,20.993,77.604,132.499,339.431,46.67,4.617,14.422,2.933
Alanine,C3 H7 N O2,287442.9978,60640475.39,49551148.04,76149000.53,69209537.03,81117823.34,61054654.97,8583047.966,70903307.91,58098166.27,55523399.36,1293341369,279600222.2,84651686.65,55095811.71,71086239.16,56810782.82,72679268.78,39743177.94,1293341369,279600222.2,84651686.65,120.126,154.99,123.865,158.463,86.653,2819.887,609.616,184.567
DL-Lactic Acid,C3 H6 O3,2000965.438,201871557.4,123439886.8,174989476.6,233653955.5,208402970,238550723.2,41200907.43,183829442.7,135181566.9,150119283.1,120591005.7,280163245.4,217988334.9,162655722.1,223476846.6,142650425,204321716,112515175.1,120591005.7,280163245.4,217988334.9,91.868,126.22,80.569,115.401,63.549,68.11,158.237,123.12
DL-Lactic Acid,C3 H6 O3,2089760.514,3955488.277,17505789.69,10375662.04,4828990.775,4828696.723,33698772.23,139778640.6,66103232.72,31721263.19,17648030.09,112734141.1,64125557.64,4242747.128,10730638.98,19263734.48,24684646.64,7602326.408,102940936.7,112734141.1,64125557.64,4242747.128,5.432,9.752,12.496,3.848,52.111,57.069,32.462,2.148
DL-Lactic Acid,C3 H6 O3,232569.3724,24335406.19,21580082.65,115693505.1,132561455.7,39704944.67,36777536.66,4165805.809,3695815.353,58434584.62,61517882.32,70072812.53,28137487.16,11851504.35,22957744.42,38241240.67,59976233.47,124127480.4,3930810.581,70072812.53,28137487.16,11851504.35,36.839,61.363,96.24,199.179,6.308,112.441,45.15,19.017
"1,4-Dimethylimidazole",C5 H8 N2,545185.1644,34737400.48,26944374.25,5263611.557,3447725.011,31900612.92,30339631.38,865539.113,337143.8967,8682095.483,8840732.503,7259918.423,23593499.9,1526370.185,30840887.37,31120122.15,8761413.993,4355668.284,601341.5048,7259918.423,23593499.9,1526370.185,61.356,61.911,17.43,8.665,1.196,14.443,46.938,3.037
Sulfuric acid,H2 O4 S,1314158.988,1509540455,1419384337,1595049046,1436109927,1770817691,1578456789,1171565130,1097421898,1031878816,1395262069,1451062052,2621480344,3503140671,1464462396,1674637240,1213570442,1515579487,1134493514,1451062052,2621480344,3503140671,7577.21,8664.667,6279.081,7841.693,5869.933,7507.876,13563.686,18125.446
Phosphoric acid,H3 O4 P,393826.5592,4121548283,4088091757,3806385960,5962853254,5335199910,5116179651,258868798.2,895283736.1,3826795427,3939020475,76792524.57,4462729375,5789495228,4104820020,5225689781,3882907951,4884619607,577076267.1,76792524.57,4462729375,5789495228,11285.309,14366.897,10675.21,13429.199,1586.546,211.124,12269.303,15916.957
Phosphoric acid,H3 O4 P,144221.6911,19530088.04,15724529.35,7179710.843,21839366.77,27448444.43,31243265.74,40597.61543,140044.2611,14021992.07,14856327.14,24357829.98,11957031.24,37472023.16,17627308.69,29345855.08,14439159.61,14509538.81,90320.93827,24357829.98,11957031.24,37472023.16,140.254,233.494,114.887,115.447,0.719,193.806,95.138,298.151
glutaral,C5 H8 O2,193284.0858,79516.12676,77181.01751,148550.2489,170794.612,88747.46232,91311.77071,39336.57505,57101.97651,122427.3657,102123.5842,37964644.03,41990914.49,13816633.41,78348.57213,90029.61652,112275.475,159672.4305,48219.27578,37964644.03,41990914.49,13816633.41,0.84,0.965,1.204,1.712,0.517,406.975,450.136,148.112
glutaral,C5 H8 O2,320641.6387,231469.3477,249874.0639,294458.1983,453445.0177,223062.9877,216451.954,250652.0654,450298.4695,264914.6404,267236.5082,149886450.9,20390983.88,1703697.531,240671.7058,219757.4708,266075.5743,373951.608,350475.2674,149886450.9,20390983.88,1703697.531,3.486,3.183,3.854,5.417,5.076,2171.047,295.356,24.677
(Z)-dehydrobutyrine,C4 H7 N O2,456512.1893,31997215.38,23814912.71,70201734.71,146799953.3,61662082.89,55163832.93,60659458.33,57335925.15,65856020.18,75723909.19,698319249.3,266419992.7,121525476.7,27906064.05,58412957.91,70789964.69,108500844,58997691.74,698319249.3,266419992.7,121525476.7,51.609,108.027,130.917,200.658,109.108,1291.45,492.709,224.745
Succinic semialdehyde,C4 H6 O3,87342.92031,49585657.98,34719866.62,40590402.27,42079085.36,48359979.25,52785969.04,4738165.786,7217771.386,45217770.35,50471217.04,350018605.6,123568306.9,99455989.07,42152762.3,50572974.15,47844493.7,41334743.81,5977968.586,350018605.6,123568306.9,99455989.07,52.663,63.183,59.774,51.641,7.469,437.291,154.379,124.254
gamma-Aminobutyric acid,C4 H9 N O2,11668.07391,762347.0336,726964.5412,12482030.28,11849835.84,3712889.058,886826.3705,6562302.019,17741424.18,4761149.211,390302.1457,279613161.1,338948.7079,5530792.362,744655.7874,2299857.714,2575725.679,12165933.06,12151863.1,279613161.1,338948.7079,5530792.362,32.077,99.071,110.954,524.07,523.464,12044.862,14.601,238.249
(S)-(+)-2-Aminobutyric Acid,C4 H9 N O2,1169766.249,50512569.6,39196146.95,91941572.96,39019237.12,54002205.2,36727073.63,2955912.444,7866802.056,120815348.1,100681636.4,9955773.043,1331569.801,2700233.914,44854358.28,45364639.41,110748492.3,65480405.04,5411357.25,9955773.043,1331569.801,2700233.914,34.468,34.86,85.103,50.317,4.158,7.65,1.023,2.075
Choline,C5 H13 N O,138938.1865,12510201.48,7451904.426,8720556.258,16533618.06,13617288.71,58706384.47,6133203.363,3837877.132,10711975.24,13135819.44,4405625.889,2205442.162,1600812.936,9981052.955,36161836.59,11923897.34,12627087.16,4985540.248,4405625.889,2205442.162,1600812.936,74.31,269.229,88.775,94.01,37.118,32.8,16.42,11.918
Choline,C5 H13 N O,203682.3011,117736.0356,107265.434,183721.2729,250479.0108,107170.7855,189414.7254,22949053.39,25058076.67,154429.508,90680.11702,291728.6885,118680.2899,157195.7595,112500.7348,148292.7554,122554.8125,217100.1419,24003565.03,291728.6885,118680.2899,157195.7595,0.611,0.805,0.665,1.178,130.272,1.583,0.644,0.853
Nicotinyl alcohol,C6 H7 N O,1162831.37,453995.635,320140.9045,290739.3829,1673440.886,1028134.737,1432004.301,509031.4055,422452.1022,312427.4743,262646.9365,43853866.99,3944547.957,984832.6025,387068.2697,1230069.519,287537.2054,982090.1343,465741.7539,43853866.99,3944547.957,984832.6025,3.589,11.406,2.666,9.107,4.319,406.645,36.577,9.132
Cytosine,C4 H5 N3 O,566177.1893,35500324.98,36257564.88,29445470.57,13916972.58,26634789.93,34437789.86,6888215.633,11437659.21,18699569.16,16941663.8,452391.4494,218336.2011,256540.0368,35878944.93,30536289.89,17820616.48,21681221.58,9162937.419,452391.4494,218336.2011,256540.0368,16.96,14.435,8.424,10.249,4.331,0.214,0.103,0.121
1-Vinyl-2-pyrrolidone,C6 H9 N O,407538.6311,202393.1952,238678.0455,597274.5831,469545.56,224143.0259,302597.1804,412456.3093,396442.8669,374268.2802,221740.0604,38327127.09,524377.1004,408116.6232,220535.6203,263370.1032,298004.1703,533410.0716,404449.5881,38327127.09,524377.1004,408116.6232,1.127,1.346,1.523,2.726,2.067,195.897,2.68,2.086
Uracil,C4 H4 N2 O2,373663.9542,341111053.9,429034503.5,1017074085,1305052252,616472263.6,556456898.2,343126157.4,570774740.4,671741883.9,673262584.6,592173.1145,565377.013,647735.7143,385072778.7,586464580.9,672502234.2,1161063169,456950448.9,592173.1145,565377.013,647735.7143,1234.795,1880.588,2156.481,3723.127,1465.281,1.899,1.813,2.077
Thiosulfic acid,H2 O3 S2,46913.85979,10096998.97,7429373.939,6643986.767,4685335.867,6260903.19,5372310.285,2038038.112,925109.2992,4373644.468,4308496.727,140652.474,137841.2196,107691.6156,8763186.454,5816606.738,4341070.598,5664661.317,1481573.706,140652.474,137841.2196,107691.6156,605.418,401.849,299.909,391.351,102.357,9.717,9.523,7.44
