A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11
0.085500002,0.087899998,0.086099997,0.088200003,0.087499999,0.086900003,0.086499996,0.087399997,0.088600002,0.088399999,0.1171,0.116800003,0.117200002,0.117700003,0.115400001,0.116899997,0.1162,0.115099996,0.115199998,0.114200003,0.1153,0.116499998,0.112999998,0.114500001,0.120499998,0.115000002,0.115500003,0.115900002,0.114100002,0.116300002,0.114200003,0.114600003,0.1153,0.116599999,0.116800003,0.114799999,0.119199999,0.116099998,0.114,0.115099996,0.114100002,0.114,0.114600003,0.116099998,0.120999999,0.116499998,0.117399998,0.115800001,0.115599997,0.114299998,0.1153,0.115699999,0.120399997,0.128099993,0.122000001,0.116300002,0.1162,0.116300002,0.114799999,0.114500001,0.114299998,0.114100002,0.1153,0.1175,0.115999997,0.115199998,0.1153,0.1175,0.114399999,0.113499999
0.0854,0.088399999,0.086099997,0.087700002,0.087099999,0.086999997,0.086499996,0.086999997,0.088299997,0.088,0.120999999,0.120800003,0.121299997,0.120999999,0.118299998,0.1197,0.118600003,0.1171,0.116300002,0.115699999,0.119499996,0.120800003,0.116400003,0.118000001,0.1237,0.117799997,0.117200002,0.117399998,0.115400001,0.117600001,0.117899999,0.1184,0.118799999,0.119900003,0.1197,0.118699998,0.121200003,0.117899999,0.1153,0.115999997,0.116899997,0.116300002,0.116499998,0.117399998,0.121600002,0.120300002,0.120800003,0.119199999,0.119000003,0.117200002,0.118100002,0.118500002,0.122699998,0.129700005,0.122100003,0.120200001,0.120099999,0.120099999,0.118799999,0.118199997,0.117299996,0.116499998,0.117299996,0.118900001,0.116899997,0.119000003,0.119099997,0.121299997,0.118000001,0.116899997
0.085500002,0.088299997,0.086300001,0.087700002,0.087200001,0.086900003,0.086199999,0.087099999,0.088600002,0.088600002,0.128299996,0.127499998,0.127800003,0.127000004,0.123499997,0.124600001,0.1228,0.121600002,0.119400002,0.1184,0.126300007,0.127200007,0.1215,0.123599999,0.128900006,0.122299999,0.121399999,0.120999999,0.118100002,0.120499998,0.123999998,0.124499999,0.124700002,0.125300005,0.124600001,0.123000003,0.125100002,0.121399999,0.118299998,0.118699998,0.1215,0.120300002,0.120300002,0.120200001,0.124799997,0.127200007,0.127800003,0.126300007,0.125200003,0.122699998,0.123199999,0.122299999,0.126699999,0.132400006,0.126599997,0.126900002,0.126900002,0.127399996,0.125100002,0.123999998,0.122199997,0.120399997,0.120700002,0.122000001,0.119999997,0.125699997,0.125599995,0.128000006,0.124300003,0.122199997
0.085600004,0.088399999,0.086199999,0.087899998,0.087200001,0.086800002,0.086400002,0.087200001,0.088699996,0.088399999,0.135299996,0.135499999,0.135900006,0.131300002,0.129899994,0.1303,0.127900004,0.125200003,0.123800002,0.122400001,0.134299994,0.134299994,0.127599999,0.131600007,0.134499997,0.128000006,0.126699999,0.125699997,0.122100003,0.124300003,0.130999997,0.131300002,0.131999999,0.131999999,0.130700007,0.127499998,0.130500004,0.1259,0.122900002,0.122699998,0.126900002,0.125300005,0.124799997,0.125300005,0.128399998,0.134499997,0.136199996,0.134299994,0.1329,0.129099995,0.128099993,0.127299994,0.131300002,0.136700004,0.129899994,0.134399995,0.134900004,0.135299996,0.132300004,0.129999995,0.127700001,0.125499994,0.125200003,0.126200005,0.1241,0.134299994,0.133599997,0.136299998,0.131999999,0.129099995
0.085699998,0.088399999,0.086199999,0.088,0.087200001,0.086800002,0.086400002,0.087200001,0.088600002,0.088299997,0.1417,0.143399999,0.144299999,0.140100002,0.136299998,0.136899993,0.134200007,0.131099999,0.128700003,0.126599997,0.140900001,0.141800001,0.135900006,0.137600005,0.141000003,0.134499997,0.132200003,0.131699994,0.127499998,0.128999993,0.137199998,0.138699993,0.139300004,0.138500005,0.137199998,0.134000003,0.136199996,0.131500006,0.127100006,0.127299994,0.132699996,0.132300004,0.130799994,0.129800007,0.1329,0.141599998,0.145300001,0.143399999,0.1417,0.135600001,0.134299994,0.132699996,0.136399999,0.141100004,0.134299994,0.140900001,0.142700002,0.144899994,0.139899999,0.136099994,0.134100005,0.130999997,0.1303,0.130400002,0.127299994,0.1417,0.141800001,0.144299999,0.138699993,0.135499999
0.0858,0.088600002,0.086199999,0.087899998,0.087200001,0.086900003,0.086499996,0.087200001,0.088600002,0.088299997,0.144500002,0.148699999,0.1514,0.146500006,0.144299999,0.142900005,0.139400005,0.136199996,0.133399993,0.130099997,0.145600006,0.149700001,0.144500002,0.148200005,0.148300007,0.139699996,0.138500005,0.136999995,0.132799998,0.132300004,0.140900001,0.144099995,0.147100002,0.147400007,0.144299999,0.140400007,0.142399997,0.137099996,0.132599995,0.132100001,0.139899999,0.137600005,0.135900006,0.134000003,0.137600005,0.145699993,0.151899993,0.152199998,0.150000006,0.1426,0.140000001,0.1391,0.142499998,0.145799994,0.138899997,0.144500002,0.1479,0.153099999,0.1479,0.1417,0.140100002,0.137199998,0.135499999,0.135299996,0.131799996,0.146200001,0.149599999,0.153600007,0.146699995,0.143800005
0.085900001,0.088500001,0.0867,0.088100001,0.087300003,0.086900003,0.086800002,0.087399997,0.088699996,0.088600002,0.147799999,0.152999997,0.158600003,0.155699998,0.151299998,0.150700003,0.146899998,0.142299995,0.140599996,0.134000003,0.1479,0.153999999,0.150900006,0.1567,0.156200007,0.146799996,0.145199999,0.143199995,0.137199998,0.137199998,0.143800005,0.148699999,0.1567,0.156299993,0.152400002,0.148000002,0.148900002,0.142299995,0.137500003,0.136899993,0.147300005,0.144299999,0.141399994,0.140699998,0.141900003,0.148599997,0.157399997,0.159400001,0.159700006,0.150000006,0.147499993,0.145999998,0.147699997,0.151600003,0.144600004,0.145500004,0.156100005,0.161300004,0.157800004,0.149100006,0.1479,0.144400001,0.141800001,0.140699998,0.137600005,0.149299994,0.153300002,0.162200004,0.156399995,0.151500002
0.085699998,0.088399999,0.086599998,0.088200003,0.087300003,0.087200001,0.0867,0.087200001,0.088500001,0.088200003,0.151099995,0.158999994,0.167099997,0.166600004,0.161799997,0.159799993,0.153899997,0.148599997,0.144299999,0.138999999,0.151700005,0.158999994,0.153400004,0.167999998,0.1664,0.155200005,0.152600005,0.149700001,0.142000005,0.141499996,0.149200007,0.152600005,0.1646,0.166899994,0.162900001,0.156499997,0.156499997,0.149399996,0.143099993,0.140599996,0.155300006,0.151899993,0.147499993,0.145600006,0.146400005,0.150000006,0.159400001,0.164700001,0.171499997,0.160799995,0.155900002,0.153999999,0.155100003,0.157600001,0.149299994,0.148900002,0.158199996,0.169200003,0.168200001,0.158500001,0.156299993,0.151600003,0.148100004,0.147499993,0.1426,0.152700007,0.152899995,0.166899994,0.166099995,0.161899999
0.0858,0.088399999,0.086599998,0.088,0.087499999,0.087099999,0.086800002,0.087499999,0.088799998,0.088699996,0.157000005,0.1655,0.173899993,0.177200004,0.174700007,0.170300007,0.163299993,0.157000005,0.150299996,0.144099995,0.156900004,0.163100004,0.163800001,0.179100007,0.1796,0.164499998,0.161500007,0.156399995,0.148499995,0.145999998,0.154799998,0.158199996,0.172000006,0.179199994,0.174500003,0.166199997,0.165900007,0.156900004,0.148300007,0.144600004,0.166700006,0.161300004,0.156499997,0.151299998,0.152799994,0.156800002,0.161500007,0.168799996,0.182699993,0.172600001,0.166800007,0.163699999,0.162599996,0.162799999,0.153899997,0.152700007,0.160999998,0.177499995,0.180500001,0.172199994,0.167899996,0.161699995,0.156599998,0.153200001,0.147699997,0.156200007,0.154899999,0.171399996,0.177300006,0.173899993
0.086099997,0.088600002,0.086499996,0.088,0.087499999,0.086999997,0.086599998,0.087499999,0.0889,0.088600002,0.164900005,0.172499999,0.180399999,0.189199999,0.188700005,0.184599996,0.175500005,0.166999996,0.157399997,0.1505,0.162799999,0.169100001,0.172900006,0.191699997,0.193900004,0.177100003,0.173199996,0.166199997,0.154899999,0.152500004,0.161899999,0.164499998,0.179800004,0.192300007,0.189099997,0.178800002,0.175899997,0.164800003,0.155599996,0.150800005,0.179000005,0.171800002,0.165299997,0.157600001,0.159700006,0.159600005,0.165600002,0.174999997,0.194800004,0.187199995,0.178000003,0.174600005,0.170900002,0.170100003,0.160600007,0.158199996,0.165700004,0.186700001,0.193700001,0.187999994,0.181099996,0.172800004,0.165199995,0.160699993,0.152099997,0.160799995,0.159400001,0.176400006,0.190099999,0.188199997
0.086000003,0.0889,0.086599998,0.088200003,0.087499999,0.087099999,0.086800002,0.087300003,0.088600002,0.088399999,0.173099995,0.180399999,0.187700003,0.201800004,0.203999996,0.2007,0.188899994,0.177900001,0.166299999,0.157199994,0.171200007,0.176400006,0.182999998,0.203700006,0.209999993,0.192900002,0.185800001,0.178200006,0.163499996,0.158700004,0.171299994,0.171100006,0.187800005,0.204500005,0.204699993,0.192499995,0.189999998,0.176799998,0.164299995,0.157600001,0.192100003,0.184400007,0.174199998,0.166199997,0.164700001,0.166099995,0.172499999,0.180800006,0.209299996,0.203199998,0.1928,0.187399998,0.181099996,0.177599996,0.165900007,0.166700006,0.171299994,0.195800006,0.205400005,0.204799995,0.194199994,0.184799999,0.1752,0.167799994,0.157199994,0.166299999,0.165600002,0.182600006,0.202299997,0.204600006
0.086000003,0.089500003,0.086599998,0.088200003,0.087700002,0.087399997,0.086499996,0.087399997,0.088600002,0.088500001,0.181199998,0.190400004,0.199300006,0.216900006,0.221300006,0.217700005,0.203400001,0.190899998,0.175999999,0.164800003,0.177900001,0.185399994,0.194199994,0.218600005,0.226199999,0.212500006,0.199100003,0.188199997,0.173899993,0.166299999,0.180999994,0.180500001,0.199000001,0.218700007,0.223000005,0.209199995,0.204799995,0.189300001,0.176300004,0.167300001,0.206599995,0.198500007,0.185000002,0.172900006,0.172700003,0.178800002,0.181199998,0.191300005,0.225700006,0.221300006,0.209199995,0.202900007,0.192699999,0.187000006,0.174500003,0.1743,0.180099994,0.206499994,0.219799995,0.222800002,0.209600002,0.199499995,0.186900005,0.178100005,0.1646,0.173999995,0.173999995,0.193000004,0.215499997,0.222499996
0.086199999,0.0889,0.086900003,0.088,0.087399997,0.087200001,0.087099999,0.087399997,0.088600002,0.088500001,0.193100005,0.2016,0.212200001,0.232299998,0.239299998,0.234899998,0.219600007,0.203500003,0.187600002,0.173500001,0.189099997,0.196199998,0.207499996,0.232800007,0.244200006,0.233400002,0.215299994,0.202099994,0.184699997,0.175799996,0.193399996,0.190899998,0.211799994,0.234500006,0.242400005,0.226300001,0.219799995,0.203600004,0.187000006,0.176100001,0.222900003,0.214100003,0.198400006,0.184200004,0.181700006,0.189600006,0.191100001,0.203199998,0.238100007,0.240199998,0.228499994,0.217800006,0.203999996,0.197500005,0.183899999,0.186199993,0.190599993,0.217600003,0.2333,0.241600007,0.226199999,0.214699998,0.200000003,0.187700003,0.172600001,0.183899999,0.184100002,0.203899994,0.229000002,0.240799993
