max_growth,k_val,mets,min,max,mean
0.902,0.019962608,cytd,1.00E-06,1.00E-06,1.00E-06
0.902,0.019962608,gtp,1.07E-06,1.54E-06,1.31E-06
0.902,0.019962608,cmp,1.00E-06,1.00E-06,1.00E-06
0.902,0.019962608,gdp,1.00E-06,1.00E-06,1.00E-06
0.902,0.019962608,h,1,1,1.00E+00
0.902,0.019962608,prpp,1.77E-06,3.32E-06,2.55E-06
0.902,0.019962608,xan,1.00E-06,1.00E-06,1.00E-06
0.902,0.019962608,ppi,1.00E-06,1.00E-06,1.00E-06
0.902,0.019962608,xmp,1.00E-06,1.00E-06,1.00E-06
0.902,0.019962608,hxan,1.00E-06,1.00E-06,1.00E-06
0.902,0.019962608,imp,1.07E-06,1.54E-06,1.31E-06
0.902,0.019962608,orot5p,1.00E-06,1.00E-06,1.00E-06
0.902,0.019962608,co2,0.003095157,0.003095157,3.10E-03
0.902,0.019962608,ump,1.00E-06,1.00E-06,1.00E-06
0.902,0.019962608,glu5p,1.00E-06,1.00E-06,1.00E-06
0.902,0.019962608,nadph,1.43E-06,1.43E-06,1.43E-06
0.902,0.019962608,glu5sa,1.00E-06,1.00E-06,1.00E-06
0.902,0.019962608,nadp,1.00E-06,1.00E-06,1.00E-06
0.902,0.019962608,pi,9.82E-05,9.82E-05,9.82E-05
0.902,0.019962608,accoa,0.000885812,0.000885812,8.86E-04
0.902,0.019962608,h2o,1,1,1.00E+00
0.902,0.019962608,oaa,1.00E-06,1.00E-06,1.00E-06
0.902,0.019962608,cit,5.20E-05,5.20E-05,5.20E-05
0.902,0.019962608,coa,1.00E-06,1.00E-06,1.00E-06
0.902,0.019962608,ala__L,1.00E-06,1.00E-06,1.00E-06
0.902,0.019962608,pydx5p,1.00E-06,1.00E-06,1.00E-06
0.902,0.019962608,pyam5p,1.00E-06,1.00E-06,1.00E-06
0.902,0.019962608,pyr,1.45E-06,1.54E-06,1.49E-06
0.902,0.019962608,akg,1.00E-06,1.00E-06,1.00E-06
0.902,0.019962608,ptrc,1.00E-06,1.00E-06,1.00E-06
0.902,0.019962608,4abutn,1.00E-06,1.00E-06,1.00E-06
0.902,0.019962608,glu__L,0.000256586,0.000256586,2.57E-04
0.902,0.019962608,ac,0.000946928,0.000946928,9.47E-04
0.902,0.019962608,atp,0.000715232,0.000715232,7.15E-04
0.902,0.019962608,amp,1.00E-06,1.00E-06,1.00E-06
0.902,0.019962608,cys__L,1.00E-06,1.00E-06,1.00E-06
0.902,0.019962608,h2s,1.00E-06,1.00E-06,1.00E-06
0.902,0.019962608,nh4,0.003319814,0.003319814,3.32E-03
0.902,0.019962608,5apru,1.00E-06,1.00E-06,1.00E-06
