max_growth,k_val,mets,min,max
0.902,0.028585408,cytd,1.00E-06,1.33E-06
0.902,0.028585408,gtp,1.00E-06,1.44E-06
0.902,0.028585408,cmp,1.00E-06,1.21E-06
0.902,0.028585408,gdp,1.00E-06,1.08E-06
0.902,0.028585408,h,1,1
0.902,0.028585408,prpp,1.49E-06,2.02E-06
0.902,0.028585408,xan,1.00E-06,1.33E-06
0.902,0.028585408,ppi,1.00E-06,1.04E-06
0.902,0.028585408,xmp,1.00E-06,1.20E-06
0.902,0.028585408,hxan,1.00E-06,1.33E-06
0.902,0.028585408,imp,1.00E-06,1.65E-06
0.902,0.028585408,orot5p,1.00E-06,1.04E-06
0.902,0.028585408,co2,0.003319103,0.003320641
0.902,0.028585408,ump,1.00E-06,1.20E-06
0.902,0.028585408,glu5p,1.00E-06,1.00E-06
0.902,0.028585408,nadph,1.13E-06,1.48E-06
0.902,0.028585408,glu5sa,1.00E-06,1.33E-06
0.902,0.028585408,nadp,1.00E-06,1.08E-06
0.902,0.028585408,pi,9.29E-05,9.31E-05
0.902,0.028585408,accoa,0.000934371,0.000936785
0.902,0.028585408,h2o,1,1
0.902,0.028585408,oaa,1.00E-06,1.00E-06
0.902,0.028585408,cit,5.20E-05,5.22E-05
0.902,0.028585408,coa,1.00E-06,1.00E-06
0.902,0.028585408,ala__L,1.00E-06,1.33E-06
0.902,0.028585408,pydx5p,1.00E-06,1.22E-06
0.902,0.028585408,pyam5p,1.00E-06,1.26E-06
0.902,0.028585408,pyr,1.28E-06,1.87E-06
0.902,0.028585408,akg,1.00E-06,1.10E-06
0.902,0.028585408,ptrc,1.00E-06,1.34E-06
0.902,0.028585408,4abutn,1.00E-06,1.33E-06
0.902,0.028585408,glu__L,0.000275151,0.000275483
0.902,0.028585408,ac,0.001015386,0.001016066
0.902,0.028585408,atp,0.000666665,0.000667017
0.902,0.028585408,amp,1.00E-06,1.20E-06
0.902,0.028585408,cys__L,1.00E-06,1.33E-06
0.902,0.028585408,h2s,1.00E-06,1.33E-06
0.902,0.028585408,nh4,0.003319105,0.003320644
0.902,0.028585408,5apru,1.00E-06,1.20E-06
0.902,0.028585408,5aprbu,1.00E-06,1.21E-06
0.902,0.028585408,adp,1.00E-06,1.00E-06
0.902,0.028585408,pep,1.00E-06,1.17E-06
0.902,0.028585408,mal__L,2.92E-05,2.94E-05
0.902,0.028585408,nad,0.001540595,0.001544311
0.902,0.028585408,nadh,1.00E-06,1.00E-06
0.902,0.028585408,ru5p__D,5.06E-06,5.28E-06
0.902,0.028585408,db4p,1.00E-06,1.21E-06
0.902,0.028585408,for,1.00E-06,1.24E-06
0.902,0.028585408,ribflv,1.00E-06,1.33E-06
0.902,0.028585408,fmn,1.00E-06,1.22E-06
0.902,0.028585408,xylu__D,1.00E-06,1.33E-06
0.902,0.028585408,xu5p__D,1.99E-05,2.05E-05
0.902,0.028585408,rib__D,1.00E-06,1.33E-06
0.902,0.028585408,r5p,8.43E-06,8.78E-06
0.902,0.028585408,glyc,1.00E-06,1.33E-06
0.902,0.028585408,glyc3p,1.00E-06,1.21E-06
0.902,0.028585408,dmlz,1.00E-06,1.33E-06
0.902,0.028585408,4r5au,1.00E-06,1.33E-06
0.902,0.028585408,gmp,1.00E-06,1.20E-06
0.902,0.028585408,cdp,1.00E-06,1.17E-06
0.902,0.028585408,udp,1.00E-06,1.19E-06
0.902,0.028585408,fdp,1.00E-06,1.17E-06
0.902,0.028585408,f6p,7.40E-06,7.51E-06
0.902,0.028585408,g1p,1.00E-06,1.20E-06
0.902,0.028585408,adpglc,1.00E-06,1.19E-06
