K,WT,EDD,PGL,GND,EDD_norm,PGL_norm,GND_norm
0.1458,0.693096657,0.673125471,0.627117897,0.619252843,0.971185568,0.90480583,0.893458129
0.145805,0.695018724,0.674863803,0.629784455,0.646569018,0.971000895,0.906140271,0.930290071
0.14581,0.695019147,0.674864203,0.630205491,0.64847311,0.971000878,0.90674551,0.933029129
0.145815,0.695019147,0.688931342,0.630845675,0.67174914,0.991240808,0.907666612,0.966518898
0.14582,0.695019147,0.690851693,0.630845675,0.676072931,0.994003828,0.907666612,0.972740008
0.145825,0.715428583,0.694090717,0.646883359,0.677923884,0.970174709,0.904189984,0.947577298
0.14583,0.717390776,0.695937459,0.648147334,0.677924309,0.970095354,0.903478766,0.944986096
0.145835,0.717391228,0.695937459,0.652237567,0.677924309,0.970094743,0.909179736,0.944985501
0.14584,0.717391228,0.695937884,0.654460046,0.693821181,0.970095336,0.912277738,0.96714478
0.145845,0.717390776,0.695937884,0.654569068,0.695768928,0.970095946,0.912430282,0.969860431
0.14585,0.717391228,0.714396733,0.654734626,0.700408527,0.995825856,0.912660485,0.976327142
0.145855,0.717391228,0.716379334,0.654735012,0.700408981,0.998589481,0.912661024,0.976327775
0.14586,0.717391228,0.71637979,0.671048878,0.700408981,0.998590117,0.935401566,0.976327775
0.145865,0.717391228,0.717390776,0.67314124,0.700408981,0.999999371,0.938318192,0.976327775
0.14587,0.717391228,0.717391228,0.674925774,0.700408981,1,0.940805725,0.976327775
0.145875,0.717391228,0.717390776,0.675101791,0.700408981,0.999999371,0.941051082,0.976327775
0.14588,0.717391228,0.717391228,0.675102202,0.700408981,1,0.941051654,0.976327775
0.145885,0.717391228,0.717390776,0.675102202,0.700408527,0.999999371,0.941051654,0.976327142
0.14589,0.717390776,0.717391228,0.675102202,0.700408981,1.000000629,0.941052247,0.976328389
0.145895,0.717391228,0.717391228,0.675101791,0.700408981,1,0.941051082,0.976327775
0.1459,0.717390776,0.717391228,0.675102202,0.700408527,1.000000629,0.941052247,0.976327756
0.145905,0.717391228,0.717390776,0.675102202,0.700408981,0.999999371,0.941051654,0.976327775
0.14591,0.717391228,0.717391228,0.675102202,0.700408981,1,0.941051654,0.976327775
0.145915,0.717390776,0.717390776,0.675102202,0.700408527,1,0.941052247,0.976327756
0.14592,0.717391228,0.717391228,0.675102202,0.700408981,1,0.941051654,0.976327775
0.145925,0.717391228,0.717391228,0.675102202,0.700408527,1,0.941051654,0.976327142
0.14593,0.717391228,0.717391228,0.675101791,0.700408981,1,0.941051082,0.976327775
0.145935,0.717391228,0.717391228,0.675102202,0.700408981,1,0.941051654,0.976327775
0.14594,0.717391228,0.717391228,0.675102202,0.700408981,1,0.941051654,0.976327775
0.145945,0.717391228,0.717391228,0.675102202,0.700408981,1,0.941051654,0.976327775
0.14595,0.717391228,0.717391228,0.675102202,0.700408527,1,0.941051654,0.976327142
0.145955,0.717391228,0.717390776,0.675102202,0.700408981,0.999999371,0.941051654,0.976327775
0.14596,0.717391228,0.717391228,0.675102202,0.700408981,1,0.941051654,0.976327775
0.145965,0.717391228,0.717390776,0.675102202,0.700408527,0.999999371,0.941051654,0.976327142
0.14597,0.717391228,0.717391228,0.675101791,0.700408981,1,0.941051082,0.976327775
0.145975,0.717391228,0.717391228,0.675102202,0.700408981,1,0.941051654,0.976327775
0.14598,0.717391228,0.717391228,0.675102202,0.700408981,1,0.941051654,0.976327775
0.145985,0.717391228,0.717391228,0.675102202,0.700408981,1,0.941051654,0.976327775
0.14599,0.717391228,0.717391228,0.675102202,0.700408981,1,0.941051654,0.976327775
0.145995,0.717391228,0.717391228,0.675101791,0.700408981,1,0.941051082,0.976327775
0.146,0.717391228,0.717391228,0.675102202,0.700408981,1,0.941051654,0.976327775
0.146005,0.717391228,0.717391228,0.675102202,0.700408981,1,0.941051654,0.976327775
0.14601,0.717391228,0.717391228,0.675102202,0.700408981,1,0.941051654,0.976327775
0.146015,0.717391228,0.717391228,0.675102202,0.700408981,1,0.941051654,0.976327775
0.14602,0.717391228,0.717391228,0.675102202,0.700408981,1,0.941051654,0.976327775
0.146025,0.717391228,0.717391228,0.675102202,0.700408981,1,0.941051654,0.976327775
0.14603,0.717391228,0.717391228,0.675102202,0.700408527,1,0.941051654,0.976327142
0.146035,0.717390776,0.717391228,0.675102202,0.700408527,1.000000629,0.941052247,0.976327756
0.14604,0.717391228,0.717391228,0.675101791,0.700408981,1,0.941051082,0.976327775
0.146045,0.750419545,0.717391228,0.725857931,0.700408527,0.955986865,0.967269491,0.933355923
0.14605,0.750420008,0.717391228,0.72585846,0.748801099,0.955986274,0.967269598,0.997842663
0.146055,0.767177592,0.767177592,0.733848198,0.750146681,1,0.956555829,0.977800563
0.14606,0.767178065,0.767178065,0.733848646,0.752421106,1,0.956555825,0.980764624
0.146065,0.777028706,0.777028706,0.733848198,0.759797328,1,0.944428683,0.977824014
0.14607,0.777029191,0.777029191,0.749037589,0.759797328,1,0.963976125,0.977823403
0.146075,0.777029191,0.777029191,0.749038057,0.759797328,1,0.963976727,0.977823403
0.14608,0.790690397,0.790690397,0.757437348,0.774614511,1,0.957944287,0.979668545
0.146085,0.792153766,0.792153766,0.757534886,0.774615005,1,0.956297778,0.977859398
0.14609,0.801158212,0.801158212,0.757534886,0.784909303,1,0.945549674,0.979718227
0.146095,0.802661138,0.802661138,0.757701308,0.78490981,1,0.943986537,0.977884406
0.1461,0.802630412,0.802661138,0.759142966,0.78490981,1.000038281,0.945818841,0.977921841
0.146105,0.802957568,0.802957568,0.759143429,0.786678937,1,0.945434055,0.979726661
0.14611,0.804466739,0.804467259,0.75921857,0.786679446,1.000000646,0.943753836,0.977889337
0.146115,0.804467259,0.804467259,0.75921857,0.786678937,1,0.943753226,0.977888072
0.14612,0.804467259,0.804467259,0.75921857,0.786679446,1,0.943753226,0.977888705
0.146125,0.804467259,0.804467259,0.759397744,0.786679446,1,0.943975949,0.977888705
0.14613,0.804467259,0.804466739,0.759397744,0.786679446,0.999999354,0.943975949,0.977888705
0.146135,0.804467259,0.804467259,0.759397744,0.786679446,1,0.943975949,0.977888705
0.14614,0.804467259,0.804467259,0.759397744,0.786678937,1,0.943975949,0.977888072
0.146145,0.804467259,0.804467259,0.759397744,0.786679446,1,0.943975949,0.977888705
0.14615,0.804467259,0.804467259,0.759387638,0.786679446,1,0.943963386,0.977888705
0.146155,0.804467259,0.804467259,0.759397744,0.786679446,1,0.943975949,0.977888705
0.14616,0.804467259,0.804466739,0.759397744,0.786679446,0.999999354,0.943975949,0.977888705
0.146165,0.804467259,0.804466739,0.759397272,0.786679446,0.999999354,0.943975362,0.977888705
0.14617,0.804415995,0.804467259,0.759397744,0.786678937,1.000063729,0.944036107,0.977950391
0.146175,0.804467259,0.804467259,0.759397272,0.786679446,1,0.943975362,0.977888705
0.14618,0.804467259,0.804467259,0.759387157,0.786679446,1,0.943962789,0.977888705
0.146185,0.804467259,0.804467259,0.759397744,0.786679446,1,0.943975949,0.977888705
0.14619,0.804467259,0.804467259,0.759397744,0.786678937,1,0.943975949,0.977888072
0.146195,0.804467259,0.804467259,0.759397272,0.786679446,1,0.943975362,0.977888705
