k_val,mets,ln_met,exp_met
0.0026,x_cytd_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_gtp_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_cmp_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_gdp_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_prpp_c,4.100355887295747e-06,4.066110925121591e-06
0.0026,x_xan_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_ppi_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_xmp_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_hxan_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_imp_c,1.052323731870898e-05,1.051000796891682e-05
0.0026,x_orot5p_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_co2_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_ump_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_glu5p_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_nadph_c,1.5377468329854117e-05,1.430318249592213e-05
0.0026,x_glu5sa_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_nadp_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_pi_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_accoa_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_oaa_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_cit_c,5.1989372487972636e-05,5.16793340711316e-05
0.0026,x_coa_c,1.0000000000000076e-06,9.999999999999976e-07
0.0026,x_ala__L_c,1.0000000000000004e-06,1.0000000000000006e-06
0.0026,x_pydx5p_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_pyam5p_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_pyr_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_akg_c,4.8711240351571245e-06,4.8656289962759915e-06
0.0026,x_ptrc_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_4abutn_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_glu__L_c,0.00033198143415692397,0.0003085970229518202
0.0026,x_ac_c,1.0000000000000004e-06,1.0000000000000006e-06
0.0026,x_atp_c,0.0005527986047078831,0.0005452784617653124
0.0026,x_amp_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_cys__L_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_h2s_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_nh4_c,7.152323181942118e-06,6.64852131487966e-06
0.0026,x_5apru_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_5aprbu_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_adp_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_pep_c,1.0000000000000004e-06,1.0000000000000006e-06
0.0026,x_mal__L_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_nad_c,8.190698189658352e-05,8.004140502799735e-05
0.0026,x_nadh_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_ru5p__D_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_db4p_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_for_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_ribflv_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_fmn_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_xylu__D_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_xu5p__D_c,1.0000000000000004e-06,1.0000000000000006e-06
0.0026,x_rib__D_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_r5p_c,3.3886219715103897e-06,3.1811900132245173e-06
0.0026,x_glyc_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_glyc3p_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_dmlz_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_4r5au_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_gmp_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_cdp_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_udp_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_fdp_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_f6p_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_g1p_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_adpglc_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_ala__D_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_cpppg3_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_o2_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_pppg9_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_dhor__S_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_mqn8_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_mql8_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_orot_c,1.4348495491043992e-06,1.3610599998854e-06
0.0026,x_glyclt_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_q8_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_glx_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_q8h2_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_2dmmq8_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_2dmmql8_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_2obut_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_2ahbut_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_s7p_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_s17bp_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_23dhmp_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_3mop_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_alac__S_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_indole_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_ser__L_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_trp__L_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_dhap_c,7.152323181942118e-06,6.64852131487966e-06
0.0026,x_glc__D_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_chor_c,1.0000000000000004e-06,9.999999999924849e-07
0.0026,x_gln__L_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_anth_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_fum_c,1.0000000000000004e-06,1.0000000000000006e-06
0.0026,x_succ_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_pran_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_pphn_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_3psme_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_2cpr5p_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_3ig3p_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_4mop_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_leu__L_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_dmpp_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_ipdp_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_grdp_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_frdp_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_hmbil_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_uppg3_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_ckdo_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_lipidA_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_kdolipid4_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_udcpdp_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_u23ga_c,1.0000000000000004e-06,9.999999999803426e-07
0.0026,x_lipidX_c,1.0000000000000004e-06,1.0000000000002005e-06
0.0026,x_mthgxl_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_lipidAds_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_2mahmp_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_4mpetz_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_thmmp_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_2ddg6p_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_g3p_c,6.1884227255128345e-06,5.976618931299731e-06
0.0026,x_dgtp_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_dgmp_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_uri_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_6pgl_c,9.99999999999997e-07,9.999999999999976e-07
0.0026,x_6pgc_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_dgsn_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_pppi_c,1.0000000000000004e-06,9.999999999999976e-07
