max_growth,k_val,MDF
0,0.1189,0.01
0.717390776,0.119,0.01
0.717391228,0.1191,0.01
0.717390776,0.1192,0.01
0.804467259,0.1193,0.01
0.804467259,0.1194,0.01
0.817959146,0.1195,0.01
0.818831134,0.1196,0.01
0.824855497,0.1197,0.01
0.841186397,0.1198,0.01
0.847774199,0.1199,0.01
0.847774199,0.12,0.01
0.847774199,0.1201,0.01
0.847774206,0.1202,0.01
0.847776274,0.1203,0.01
0.847774199,0.1204,0.01
0.847776274,0.1205,0.01
0.847774199,0.1206,0.01
0.84777628,0.1207,0.01
0.847899391,0.1208,0.01
0.847899391,0.1209,0.01
0.847899391,0.121,0.01
0.847901467,0.1211,0.01
0.849486235,0.1212,0.01
0.849486235,0.1213,0.01
0.849486235,0.1214,0.01
0.851732004,0.1215,0.01
0.863627338,0.1216,0.01
0.863627338,0.1217,0.01
0.86549387,0.1218,0.01
0.86549387,0.1219,0.01
0.86549387,0.122,0.01
0.865496032,0.1221,0.01
0.865496032,0.1222,0.01
0.865496032,0.1223,0.01
0.865494847,0.1224,0.01
0.865496032,0.1225,0.01
0.865496032,0.1226,0.01
0.865495047,0.1227,0.01
0.865449814,0.1228,0.01
0.865623365,0.1229,0.01
0.86562435,0.123,0.01
0.86562435,0.1231,0.01
0.865626513,0.1232,0.01
0.865624357,0.1233,0.01
0.867278297,0.1234,0.01
0.867278297,0.1235,0.01
0.867278297,0.1236,0.01
0.867280468,0.1237,0.01
0.869619254,0.1238,0.01
0.869619254,0.1239,0.01
0.869619254,0.124,0.01
0.870748132,0.1241,0.01
0.870748132,0.1242,0.01
0.870748132,0.1243,0.01
0.870750321,0.1244,0.01
0.870748139,0.1245,0.01
0.870748139,0.1246,0.01
0.870748139,0.1247,0.01
0.870748132,0.1248,0.01
0.870750321,0.1249,0.01
0.870748132,0.125,0.01
0.870750321,0.1251,0.01
0.870750321,0.1252,0.01
0.870750321,0.1253,0.01
0.870747951,0.1254,0.01
0.870750327,0.1255,0.01
0.870750321,0.1256,0.01
0.870748139,0.1257,0.01
0.870750321,0.1258,0.01
0.870751137,0.1259,0.01
0.870751137,0.126,0.01
0.87097927,0.1261,0.01
0.87097927,0.1262,0.01
0.870978726,0.1263,0.01
0.87097927,0.1264,0.01
0.87097927,0.1265,0.01
0.87097927,0.1266,0.01
0.87097927,0.1267,0.01
0.87098146,0.1268,0.01
0.870981466,0.1269,0.01
0.87098146,0.127,0.01
0.870981466,0.1271,0.01
0.87097927,0.1272,0.01
0.870981466,0.1273,0.01
0.870980086,0.1274,0.01
0.87098146,0.1275,0.01
0.870980086,0.1276,0.01
0.870982276,0.1277,0.01
0.870980093,0.1278,0.01
0.87098146,0.1279,0.01
0.870979088,0.128,0.01
0.870980093,0.1281,0.01
0.870982276,0.1282,0.01
0.870982276,0.1283,0.01
0.870982276,0.1284,0.01
0.870982276,0.1285,0.01
0.871511804,0.1286,0.01
0.871511804,0.1287,0.01
0.871511804,0.1288,0.01
0.871513996,0.1289,0.01
0.871513996,0.129,0.01
0.871511804,0.1291,0.01
0.871513996,0.1292,0.01
0.871513996,0.1293,0.01
0.872645604,0.1294,0.01
0.872645604,0.1295,0.01
0.872645604,0.1296,0.01
0.872647803,0.1297,0.01
0.872647803,0.1298,0.01
0.872645604,0.1299,0.01
0.872647803,0.13,0.01
0.872647803,0.1301,0.01
0.872647803,0.1302,0.01
0.873569352,0.1303,0.01
0.873703272,0.1304,0.01
0.873703272,0.1305,0.01
0.874708516,0.1306,0.01
0.874708516,0.1307,0.01
0.874842786,0.1308,0.01
0.874842786,0.1309,0.01
0.874842786,0.131,0.01
0.874842786,0.1311,0.01
0.874842792,0.1312,0.01
0.874941762,0.1313,0.01
0.875076103,0.1314,0.01
0.875076103,0.1315,0.01
0.875076103,0.1316,0.01
0.875076109,0.1317,0.01
0.875078313,0.1318,0.01
0.875078313,0.1319,0.01
0.875078313,0.132,0.01
0.875076109,0.1321,0.01
0.875078313,0.1322,0.01
0.875076103,0.1323,0.01
0.875076103,0.1324,0.01
0.875078313,0.1325,0.01
0.875076109,0.1326,0.01
0.875078313,0.1327,0.01
0.87507832,0.1328,0.01
0.875078313,0.1329,0.01
0.87507832,0.133,0.01
0.875078313,0.1331,0.01
0.875078313,0.1332,0.01
0.875078313,0.1333,0.01
0.87503189,0.1334,0.01
0.875078313,0.1335,0.01
0.875079137,0.1336,0.01
0.875079144,0.1337,0.01
0.875031896,0.1338,0.01
0.875079144,0.1339,0.01
0.875079144,0.134,0.01
0.875031896,0.1341,0.01
0.875079137,0.1342,0.01
0.875078313,0.1343,0.01
0.875076103,0.1344,0.01
0.875079144,0.1345,0.01
0.875079137,0.1346,0.01
0.875079137,0.1347,0.01
0.875078313,0.1348,0.01
0.875076933,0.1349,0.01
0.875079137,0.135,0.01
0.875079144,0.1351,0.01
0.875079137,0.1352,0.01
0.875079144,0.1353,0.01
0.875079144,0.1354,0.01
0.875079144,0.1355,0.01
0.875079144,0.1356,0.01
0.87561366,0.1357,0.01
0.87561366,0.1358,0.01
0.87561366,0.1359,0.01
0.875615873,0.136,0.01
0.875615873,0.1361,0.01
0.875615873,0.1362,0.01
0.875615879,0.1363,0.01
0.87571281,0.1364,0.01
0.875847388,0.1365,0.01
0.876623307,0.1366,0.01
0.876712955,0.1367,0.01
0.876758165,0.1368,0.01
0.876758165,0.1369,0.01
0.876760384,0.137,0.01
0.876760384,0.1371,0.01
0.876760384,0.1372,0.01
0.876758165,0.1373,0.01
0.876992505,0.1374,0.01
0.876992505,0.1375,0.01
0.876961978,0.1376,0.01
0.876994725,0.1377,0.01
0.876994725,0.1378,0.01
0.876994725,0.1379,0.01
0.876994725,0.138,0.01
0.876994725,0.1381,0.01
0.876992505,0.1382,0.01
0.876947271,0.1383,0.01
0.876992505,0.1384,0.01
0.876994725,0.1385,0.01
0.876994725,0.1386,0.01
0.876993332,0.1387,0.01
0.876995553,0.1388,0.01
0.876995553,0.1389,0.01
0.876995553,0.139,0.01
0.876962806,0.1391,0.01
0.876995553,0.1392,0.01
0.876948098,0.1393,0.01
0.876995553,0.1394,0.01
0.876995553,0.1395,0.01
0.876995553,0.1396,0.01
0.876995553,0.1397,0.01
0.876994541,0.1398,0.01
0.876995553,0.1399,0.01
0.876993332,0.14,0.01
0.876995553,0.1401,0.01
0.876995553,0.1402,0.01
0.876995553,0.1403,0.01
0.876995553,0.1404,0.01
0.876995553,0.1405,0.01
0.876992505,0.1406,0.01
0.876995553,0.1407,0.01
0.876947271,0.1408,0.01
0.876991493,0.1409,0.01
0.876994725,0.141,0.01
0.876992505,0.1411,0.01
0.876993332,0.1412,0.01
0.876992505,0.1413,0.01
0.876994725,0.1414,0.01
0.876995553,0.1415,0.01
0.876993332,0.1416,0.01
0.876993339,0.1417,0.01
0.876994732,0.1418,0.01
0.876995553,0.1419,0.01
0.876995559,0.142,0.01
0.876995553,0.1421,0.01
0.876995559,0.1422,0.01
0.876994725,0.1423,0.01
0.876995559,0.1424,0.01
0.876993332,0.1425,0.01
0.876948098,0.1426,0.01
0.876995559,0.1427,0.01
0.876995559,0.1428,0.01
0.876995559,0.1429,0.01
0.876992511,0.143,0.01
0.876994732,0.1431,0.01
0.876995559,0.1432,0.01
0.876995559,0.1433,0.01
0.876994732,0.1434,0.01
0.876995553,0.1435,0.01
0.876993339,0.1436,0.01
0.876995553,0.1437,0.01
0.876995559,0.1438,0.01
0.876995553,0.1439,0.01
0.876995553,0.144,0.01
0.876995559,0.1441,0.01
0.876994732,0.1442,0.01
0.876995559,0.1443,0.01
0.876994732,0.1444,0.01
0.876995559,0.1445,0.01
0.876995559,0.1446,0.01
0.876995553,0.1447,0.01
0.876995553,0.1448,0.01
0.876948105,0.1449,0.01
0.876995559,0.145,0.01
0.876994732,0.1451,0.01
0.876992511,0.1452,0.01
0.876995559,0.1453,0.01
0.876992505,0.1454,0.01
0.876993332,0.1455,0.01
0.876992505,0.1456,0.01
0.876993332,0.1457,0.01
0.876993332,0.1458,0.01
0.876994725,0.1459,0.01
0.876994725,0.146,0.01
0.876995553,0.1461,0.01
0.876995553,0.1462,0.01
0.876992505,0.1463,0.01
0.876995553,0.1464,0.01
0.876995553,0.1465,0.01
0.876995553,0.1466,0.01
0.876995559,0.1467,0.01
0.876994732,0.1468,0.01
0.876995559,0.1469,0.01
0.876993339,0.147,0.01
0.876994725,0.1471,0.01
0.876995559,0.1472,0.01
0.876993332,0.1473,0.01
0.876993339,0.1474,0.01
0.876993332,0.1475,0.01
0.876994725,0.1476,0.01
0.876948098,0.1477,0.01
0.876995559,0.1478,0.01
0.876995559,0.1479,0.01
0.876994725,0.148,0.01
0.876995559,0.1481,0.01
0.876987467,0.1482,0.01
0.876995553,0.1483,0.01
0.876995559,0.1484,0.01
0.876995553,0.1485,0.01
0.876995559,0.1486,0.01
0.876994725,0.1487,0.01
0.876995559,0.1488,0.01
0.876995559,0.1489,0.01
0.876995559,0.149,0.01
0.876993332,0.1491,0.01
0.876994725,0.1492,0.01
0.876994725,0.1493,0.01
0.876994732,0.1494,0.01
0.876948098,0.1495,0.01
0.876994725,0.1496,0.01
0.876995559,0.1497,0.01
0.876995559,0.1498,0.01
0.876995553,0.1499,0.01
0.876993332,0.15,0.01
0.876993332,0.1501,0.01
0.876994725,0.1502,0.01
0.876995559,0.1503,0.01
0.876995553,0.1504,0.01
0.876995559,0.1505,0.01
0.876993339,0.1506,0.01
0.876995559,0.1507,0.01
0.876948105,0.1508,0.01
0.876995553,0.1509,0.01
0.876995553,0.151,0.01
0.876992505,0.1511,0.01
0.876992505,0.1512,0.01
0.876993332,0.1513,0.01
0.876994725,0.1514,0.01
0.876993332,0.1515,0.01
0.876995553,0.1516,0.01
0.876995553,0.1517,0.01
0.876994725,0.1518,0.01
0.876995553,0.1519,0.01
0.876995553,0.152,0.01
