max_growth,k_val,mets,min,max,mean
0.876995553,0.17,x_accoa_c,0.481704,5.499101,2.990403
0.876995553,0.17,x_ac_c,0.141029,5.408685,2.774857
0.876995553,0.17,x_atp_c,0.206737,5.415034,2.810885
0.876995553,0.17,x_nad_c,0.576567,7.262413,3.91949
0.876992781,0.169,x_accoa_c,0.484782,5.566891,3.025837
0.876992781,0.169,x_ac_c,0.137678,5.461115,2.799397
0.876992781,0.169,x_atp_c,0.208056,5.488595,2.848326
0.876992781,0.169,x_nad_c,0.581666,7.364586,3.973126
0.876995553,0.168,x_accoa_c,0.571439,3.533698,2.052569
0.876995553,0.168,x_ac_c,0.24375,3.336491,1.790121
0.876995553,0.168,x_atp_c,0.288986,3.344565,1.816775
0.876995553,0.168,x_nad_c,0.839135,5.326489,3.082812
0.876994173,0.167,x_accoa_c,0.572017,3.607452,2.089735
0.876994173,0.167,x_ac_c,0.237134,3.393567,1.81535
0.876994173,0.167,x_atp_c,0.289567,3.423538,1.856552
0.876994173,0.167,x_nad_c,0.841037,5.401425,3.121231
0.876994725,0.166,x_accoa_c,0.634319,2.739506,1.686913
0.876994725,0.166,x_ac_c,0.319545,2.389615,1.35458
0.876994725,0.166,x_atp_c,0.404379,2.426955,1.415667
0.876994725,0.166,x_nad_c,1.042215,4.353314,2.697765
0.876994725,0.165,x_accoa_c,0.741784,1.730783,1.236283
0.876994725,0.165,x_ac_c,0.501638,1.384647,0.943142
0.876994725,0.165,x_atp_c,0.632673,1.423394,1.028033
0.876994725,0.165,x_nad_c,1.425267,3.209377,2.317322
0.876760384,0.164,x_accoa_c,0.771066,1.30895,1.040008
0.876760384,0.164,x_ac_c,0.574918,1.102219,0.838568
0.876760384,0.164,x_atp_c,0.761989,1.211113,0.986551
0.876760384,0.164,x_nad_c,1.540013,2.89877,2.219391
0.875615323,0.163,x_accoa_c,0.795435,1.200608,0.998021
0.875615323,0.163,x_ac_c,0.609707,1.041764,0.825736
0.875615323,0.163,x_atp_c,0.794372,1.134956,0.964664
0.875615323,0.163,x_nad_c,1.638893,2.734743,2.186818
0.875077764,0.162,x_accoa_c,0.412645,6.096953,3.254799
0.875077764,0.162,x_ac_c,1.00E-03,3.425423,1.713211
0.875077764,0.162,x_atp_c,0.286291,5.300466,2.793379
0.875077764,0.162,x_nad_c,0.386102,5.067746,2.726924
0.875079137,0.161,x_accoa_c,0.492769,3.708139,2.100454
0.875079137,0.161,x_ac_c,1.00E-03,1.351042,0.676021
0.875079137,0.161,x_atp_c,0.499069,3.125986,1.812527
0.875079137,0.161,x_nad_c,0.533975,2.900387,1.717181
0.875078313,0.16,x_accoa_c,0.500434,3.823684,2.162059
0.875078313,0.16,x_ac_c,1.00E-03,1.424226,0.712613
0.875078313,0.16,x_atp_c,0.512409,3.22252,1.867465
0.875078313,0.16,x_nad_c,0.546625,2.981767,1.764196
0.875077764,0.159,x_accoa_c,0.788035,2.416431,1.602233
0.875077764,0.159,x_ac_c,1.00E-03,0.412485,0.206742
0.875077764,0.159,x_atp_c,0.773305,2.075697,1.424501
0.875077764,0.159,x_nad_c,0.799818,1.884589,1.342203
0.874842786,0.158,x_accoa_c,0.767036,2.49662,1.631828
0.874842786,0.158,x_ac_c,1.00E-03,0.439887,0.220443
0.874842786,0.158,x_atp_c,0.776839,2.349781,1.56331
0.874842786,0.158,x_nad_c,0.766402,1.906823,1.336613
0.872647256,0.157,x_accoa_c,0.631542,1.701806,1.166674
0.872647256,0.157,x_ac_c,0.81559,2.569302,1.692446
0.872647256,0.157,x_atp_c,0.109182,0.68913,0.399156
0.872647256,0.157,x_nad_c,1.033109,2.502576,1.767843
0.871513452,0.156,x_accoa_c,0.688977,1.184697,0.936837
0.871513452,0.156,x_ac_c,0.858166,2.061381,1.459774
0.871513452,0.156,x_atp_c,0.131476,0.580916,0.356196
0.871513452,0.156,x_nad_c,1.229564,2.40224,1.815902
0.870981732,0.155,x_accoa_c,0.596242,2.311576,1.453909
0.870981732,0.155,x_ac_c,1.00E-03,0.478129,0.239564
0.870981732,0.155,x_atp_c,0.109101,0.752271,0.430686
0.870981732,0.155,x_nad_c,0.497499,1.493649,0.995574
0.87098146,0.154,x_accoa_c,0.467942,2.709107,1.588525
0.87098146,0.154,x_ac_c,1.00E-03,0.769692,0.385346
0.87098146,0.154,x_atp_c,9.29E-02,1.026545,0.559719
0.87098146,0.154,x_nad_c,0.435332,1.754026,1.094679
0.87097927,0.153,x_accoa_c,0.86339,1.502606,1.182998
0.87097927,0.153,x_ac_c,1.00E-03,8.94E-02,4.52E-02
0.87097927,0.153,x_atp_c,0.164341,0.345627,0.254984
0.87097927,0.153,x_nad_c,0.609669,1.017165,0.813417
0.870750321,0.152,x_accoa_c,0.46215,2.760524,1.611337
0.870750321,0.152,x_ac_c,1.00E-03,0.800788,0.400894
0.870750321,0.152,x_atp_c,9.22E-02,1.05327,0.572727
0.870750321,0.152,x_nad_c,0.423519,1.763791,1.093655
0.870748132,0.151,x_accoa_c,0.829013,1.669467,1.24924
0.870748132,0.151,x_ac_c,1.00E-03,0.119303,6.02E-02
0.870748132,0.151,x_atp_c,0.157662,0.374644,0.266153
0.870748132,0.151,x_nad_c,0.578749,1.052138,0.815444
0.865626513,0.15,x_accoa_c,0.580492,0.800307,0.6904
0.865626513,0.15,x_ac_c,1.00E-03,3.12E-02,1.61E-02
0.865626513,0.15,x_atp_c,0.22424,0.331075,0.277657
0.865626513,0.15,x_nad_c,0.871121,1.060426,0.965774
0.86549387,0.149,x_accoa_c,1.93E-03,7.05E-02,3.62E-02
0.86549387,0.149,x_ac_c,6.68E-03,0.456772,0.231727
0.86549387,0.149,x_atp_c,0.162665,0.757188,0.459927
0.86549387,0.149,x_nad_c,0.896946,2.387636,1.642291
0.849436244,0.148,x_accoa_c,0.55834,0.8134,0.68587
0.849436244,0.148,x_ac_c,1.00E-03,2.14E-02,1.12E-02
0.849436244,0.148,x_atp_c,0.374266,0.550951,0.462608
0.849436244,0.148,x_nad_c,0.298641,0.463823,0.381232
0.847773684,0.147,x_accoa_c,1.00E-03,7.14E-02,3.62E-02
0.847773684,0.147,x_ac_c,1.03E-03,0.302362,0.151696
0.847773684,0.147,x_atp_c,0.248793,0.848307,0.54855
0.847773684,0.147,x_nad_c,0.166165,0.970187,0.568176
0.717391228,0.146,x_accoa_c,1.00E-03,0.10143,5.12E-02
0.717391228,0.146,x_ac_c,1.00E-03,0.172292,8.66E-02
0.717391228,0.146,x_atp_c,0.27596,0.845971,0.560965
0.717391228,0.146,x_nad_c,2.55E-02,0.333668,0.179586
