max_growth,k_val,mets,min,max
0.87699,0.16425981885495766,cytd,1.0000000000000004e-06,9.999999996294417e-07
0.87699,0.16425981885495766,gtp,1.0000000000000004e-06,9.999999996294417e-07
0.87699,0.16425981885495766,cmp,1.0000000000000004e-06,9.999999994504134e-07
0.87699,0.16425981885495766,gdp,1.0000000000000004e-06,9.999999994527938e-07
0.87699,0.16425981885495766,h,1.0,1.0
0.87699,0.16425981885495766,prpp,2.333092984494312e-06,2.5317064080377122e-06
0.87699,0.16425981885495766,xan,1.0000000000000004e-06,9.999999994330122e-07
0.87699,0.16425981885495766,ppi,1.0000000000000004e-06,9.999999998394108e-07
0.87699,0.16425981885495766,xmp,1.0000000000000004e-06,1.0001000106212766e-06
0.87699,0.16425981885495766,hxan,1.0000000000000004e-06,9.999999994338791e-07
0.87699,0.16425981885495766,imp,1.0000000000000004e-06,9.999999994972914e-07
0.87699,0.16425981885495766,orot5p,1.0000000000000004e-06,1.0000250597481843e-06
0.87699,0.16425981885495766,co2,0.002905390545200307,0.002905390545195231
0.87699,0.16425981885495766,ump,1.0000000000000004e-06,9.999999994321455e-07
0.87699,0.16425981885495766,glu5p,1.0000000000000004e-06,9.999999999982597e-07
0.87699,0.16425981885495766,nadph,1.0000000000000004e-06,9.99999999821663e-07
0.87699,0.16425981885495766,glu5sa,1.0000000000000004e-06,9.999999996285038e-07
0.87699,0.16425981885495766,nadp,1.7366406381731145e-06,1.7366406378727353e-06
0.87699,0.16425981885495766,pi,9.732316277153398e-05,9.732316277111803e-05
0.87699,0.16425981885495766,accoa,0.000970540390048198,0.0009705413487459224
0.87699,0.16425981885495766,h2o,1.0,1.0
0.87699,0.16425981885495766,oaa,1.0000000000000004e-06,9.99999999994421e-07
0.87699,0.16425981885495766,cit,5.219950948793832e-05,5.2199509487309e-05
0.87699,0.16425981885495766,coa,1.0000000000000004e-06,9.99999999999711e-07
0.87699,0.16425981885495766,ala__L,1.0000000000000004e-06,9.999999995340319e-07
0.87699,0.16425981885495766,pydx5p,1.0000000000000004e-06,9.999999994529607e-07
0.87699,0.16425981885495766,pyam5p,1.0000000000000004e-06,9.999999994231144e-07
0.87699,0.16425981885495766,pyr,0.0003242078801378934,0.0003242078801324119
0.87699,0.16425981885495766,akg,1.0000000000000004e-06,9.999999997911009e-07
0.87699,0.16425981885495766,ptrc,1.0000000000000004e-06,9.99999999441672e-07
0.87699,0.16425981885495766,4abutn,1.0000000000000004e-06,9.99999999440425e-07
0.87699,0.16425981885495766,glu__L,0.0002107881245051826,0.00021078812450458497
0.87699,0.16425981885495766,ac,0.0008477314270215912,0.0008477314270187164
0.87699,0.16425981885495766,atp,0.0008741509657485816,0.0008741509657470753
0.87699,0.16425981885495766,amp,1.0000000000000004e-06,9.99999999586358e-07
0.87699,0.16425981885495766,cys__L,1.0000000000000004e-06,9.999999994397198e-07
0.87699,0.16425981885495766,h2s,1.0000000000000004e-06,9.999999995604303e-07
0.87699,0.16425981885495766,nh4,0.002905390545197386,0.002905390545195172
0.87699,0.16425981885495766,5apru,1.0000000000000004e-06,1.0001000089927222e-06
0.87699,0.16425981885495766,5aprbu,1.0000000000000004e-06,9.999999994382028e-07
0.87699,0.16425981885495766,adp,1.0000000000000004e-06,1.0000001389577906e-06
0.87699,0.16425981885495766,pep,1.0000000000000004e-06,1.0001000091613739e-06
0.87699,0.16425981885495766,mal__L,2.1018782982611182e-05,2.1018782982469562e-05
0.87699,0.16425981885495766,nad,0.002153633746157723,0.002153633746147761
0.87699,0.16425981885495766,nadh,1.0000000000000004e-06,9.999999999999311e-07
0.87699,0.16425981885495766,ru5p__D,2.387185794569775e-06,2.3871857938944255e-06
0.87699,0.16425981885495766,db4p,1.0000000000000004e-06,9.99999999400988e-07
0.87699,0.16425981885495766,for,1.0000000000000004e-06,1.0001000091480373e-06
0.87699,0.16425981885495766,ribflv,1.0000000000000004e-06,1.000100081492694e-06
0.87699,0.16425981885495766,fmn,1.0000000000000004e-06,9.999999994410217e-07
0.87699,0.16425981885495766,xylu__D,1.0000000000000004e-06,9.999999994388938e-07
0.87699,0.16425981885495766,xu5p__D,9.349184226964685e-06,9.349184222798198e-06
0.87699,0.16425981885495766,rib__D,1.0000000000000004e-06,9.99999999410678e-07
0.87699,0.16425981885495766,r5p,1.2085152585999124e-05,1.2085152579821968e-05
0.87699,0.16425981885495766,glyc,1.0000000000000004e-06,9.999999994418887e-07
0.87699,0.16425981885495766,glyc3p,1.0000000000000004e-06,9.999999994464468e-07
0.87699,0.16425981885495766,dmlz,1.0000000000000004e-06,1.0000000000000004e-06
0.87699,0.16425981885495766,4r5au,1.0000000000000004e-06,9.999999994006079e-07
0.87699,0.16425981885495766,gmp,1.0000000000000004e-06,1.000100009164003e-06
0.87699,0.16425981885495766,cdp,1.0000000000000004e-06,9.999999995398334e-07
0.87699,0.16425981885495766,udp,1.0000000000000004e-06,9.999999996011444e-07
0.87699,0.16425981885495766,fdp,1.0000000000000004e-06,1.0001000090713213e-06
0.87699,0.16425981885495766,f6p,5.069926408283847e-06,5.06992640661364e-06
0.87699,0.16425981885495766,g1p,1.0000000000000004e-06,9.999999994540993e-07
0.87699,0.16425981885495766,adpglc,1.0000000000000004e-06,9.99999999441292e-07
0.87699,0.16425981885495766,ala__D,1.0000000000000004e-06,9.999999995469885e-07
0.87699,0.16425981885495766,cpppg3,1.0000000000000004e-06,9.999999994618513e-07
0.87699,0.16425981885495766,o2,1.0000000000000004e-06,1.0000000000000004e-06
0.87699,0.16425981885495766,pppg9,1.0000000000000004e-06,1.0001000861553317e-06
0.87699,0.16425981885495766,dhor__S,1.0000000000000004e-06,9.999999999738864e-07
0.87699,0.16425981885495766,mqn8,1.0000000000000004e-06,1.0002001011560682e-06
0.87699,0.16425981885495766,mql8,1.0000000000000004e-06,9.99999999539725e-07
0.87699,0.16425981885495766,orot,2.3330929840745085e-06,2.5317064082597666e-06
0.87699,0.16425981885495766,glyclt,1.0000000000000004e-06,9.999999996300937e-07
0.87699,0.16425981885495766,q8,1.0000000000000004e-06,1.000000071905411e-06
0.87699,0.16425981885495766,glc,1.0000000000000004e-06,9.999999994432992e-07
0.87699,0.16425981885495766,q8h2,1.0000000000000004e-06,1.0000000000000004e-06
0.87699,0.16425981885495766,2dmmq8,1.0000000000000004e-06,9.999999996369114e-07
0.87699,0.16425981885495766,2dmmql8,9.99999999999997e-07,9.999999994348153e-07
0.87699,0.16425981885495766,2obut,1.0000000000000004e-06,9.999999996205654e-07
0.87699,0.16425981885495766,2ahbut,1.0000000000000004e-06,1.0001000091625127e-06
0.87699,0.16425981885495766,s7p,1.0000000000000004e-06,9.999999999966751e-07
0.87699,0.16425981885495766,s17bp,9.654116644443476e-05,9.654116640866008e-05
0.87699,0.16425981885495766,23dhmp,1.0000000000000004e-06,9.999999994367923e-07
0.87699,0.16425981885495766,3mop,1.0000000000000004e-06,1.0001000091843212e-06
0.87699,0.16425981885495766,alac__S,1.0000000000000004e-06,9.999999995233525e-07
0.87699,0.16425981885495766,indole,0.000313232046435446,0.00031323204643127515
0.87699,0.16425981885495766,ser__L,2.7651260431943175e-06,2.765126041841088e-06
0.87699,0.16425981885495766,trp__L,1.0000000000000004e-06,1.0000002636136817e-06
0.87699,0.16425981885495766,dhap,0.0020619924563991102,0.0020619924563883563
0.87699,0.16425981885495766,glc__D,1.0000000000000004e-06,9.999999994416187e-07
0.87699,0.16425981885495766,chor,1.0000000000000004e-06,1.0001000091414766e-06
0.87699,0.16425981885495766,gln__L,1.5694939214256845e-06,2.3332776630744535e-06
0.87699,0.16425981885495766,anth,1.0000000000000004e-06,9.999999994476885e-07
0.87699,0.16425981885495766,fum,5.294060741938295e-06,5.294060741826235e-06
0.87699,0.16425981885495766,succ,1.0000000000000004e-06,9.999999994559433e-07
0.87699,0.16425981885495766,pran,1.0000000000000004e-06,1.0001000814913119e-06
0.87699,0.16425981885495766,pphn,1.0000000000000004e-06,9.999999996303105e-07
0.87699,0.16425981885495766,3psme,1.0000000000000004e-06,9.999999994044308e-07
0.87699,0.16425981885495766,2cpr5p,1.0000000000000004e-06,9.999999994473777e-07
0.87699,0.16425981885495766,3ig3p,0.00014750392453793598,0.00014750421605057258
0.87699,0.16425981885495766,4mop,1.0000000000000004e-06,1.0001000091944316e-06
0.87699,0.16425981885495766,leu__L,1.0000000000000004e-06,9.999999996448926e-07
0.87699,0.16425981885495766,dmpp,1.0000000000000004e-06,1.0001000090743573e-06
0.87699,0.16425981885495766,ipdp,1.0000000000000004e-06,9.999999995353073e-07
0.87699,0.16425981885495766,grdp,1.0000000000000004e-06,9.999999994579753e-07
0.87699,0.16425981885495766,frdp,1.0000000000000004e-06,9.999999995979736e-07
0.87699,0.16425981885495766,hmbil,1.0000000000000004e-06,1.0000000766697352e-06
0.87699,0.16425981885495766,uppg3,1.0000000000000004e-06,9.999999996447291e-07
0.87699,0.16425981885495766,ckdo,1.0000000000000004e-06,9.999999995021303e-07
0.87699,0.16425981885495766,lipidA,1.0000000000000004e-06,9.999999994354387e-07
0.87699,0.16425981885495766,kdolipid4,1.0000000000000004e-06,9.999999994443828e-07
0.87699,0.16425981885495766,udcpdp,1.0000000000000004e-06,9.999999994478253e-07
0.87699,0.16425981885495766,u23ga,1.0000000000000004e-06,9.99999999428106e-07
0.87699,0.16425981885495766,lipidX,1.0000000000000004e-06,9.999999996282232e-07
0.87699,0.16425981885495766,mthgxl,1.0000000000000004e-06,1.0000000000000004e-06
0.87699,0.16425981885495766,lipidAds,1.0000000000000004e-06,1.0001000091743034e-06
0.87699,0.16425981885495766,2mahmp,1.0000000000000004e-06,9.999999996379044e-07
0.87699,0.16425981885495766,4mpetz,1.0000000000000004e-06,9.99999999627328e-07
