max_growth,k_val,rxns,Z
0.87699,0.16425981885495766,CYTDK2,1.0
0.87699,0.16425981885495766,XPPT,1.0
0.87699,0.16425981885495766,HXPRT,1.0
0.87699,0.16425981885495766,OMPDC,1.0
0.87699,0.16425981885495766,G5SD,1.0
0.87699,0.16425981885495766,CS,1.0
0.87699,0.16425981885495766,ALATA_L2,0.0
0.87699,0.16425981885495766,PTRCTA,0.0
0.87699,0.16425981885495766,ACS,1.0
0.87699,0.16425981885495766,CYSDS,1.0
0.87699,0.16425981885495766,PPA,1.0
0.87699,0.16425981885495766,APRAUR,1.0
0.87699,0.16425981885495766,PPCK,1.0
0.87699,0.16425981885495766,ME1,1.0
0.87699,0.16425981885495766,DB4PS,1.0
0.87699,0.16425981885495766,RBFK,1.0
0.87699,0.16425981885495766,XYLK,0.0
0.87699,0.16425981885495766,RBK,1.0
0.87699,0.16425981885495766,GLYK,1.0
0.87699,0.16425981885495766,ACP1_FMN,1.0
0.87699,0.16425981885495766,RBFSb,1.0
0.87699,0.16425981885495766,NDP3,1.0
0.87699,0.16425981885495766,CDPPH,1.0
0.87699,0.16425981885495766,NDP7,1.0
0.87699,0.16425981885495766,FBP,1.0
0.87699,0.16425981885495766,GLGC,1.0
0.87699,0.16425981885495766,ALATA_D2,0.0
0.87699,0.16425981885495766,PYK,0.0
0.87699,0.16425981885495766,PMDPHT,1.0
0.87699,0.16425981885495766,CPPPGO,1.0
0.87699,0.16425981885495766,DHORD5,1.0
0.87699,0.16425981885495766,GLYCTO2,1.0
0.87699,0.16425981885495766,GLYCTO3,0.0
0.87699,0.16425981885495766,GLYCTO4,1.0
0.87699,0.16425981885495766,RBFSa,1.0
0.87699,0.16425981885495766,ACHBS,1.0
0.87699,0.16425981885495766,PFK_3,1.0
0.87699,0.16425981885495766,DHAD2,1.0
0.87699,0.16425981885495766,ACLS,1.0
0.87699,0.16425981885495766,TRPS2,1.0
0.87699,0.16425981885495766,G3PD5,1.0
0.87699,0.16425981885495766,G1PP,1.0
0.87699,0.16425981885495766,PFL,1.0
0.87699,0.16425981885495766,ANS,1.0
0.87699,0.16425981885495766,FRD2,1.0
0.87699,0.16425981885495766,FRD3,1.0
0.87699,0.16425981885495766,ANPRT,1.0
0.87699,0.16425981885495766,POX,1.0
0.87699,0.16425981885495766,CHORM,1.0
0.87699,0.16425981885495766,CHORS,1.0
0.87699,0.16425981885495766,IGPS,1.0
0.87699,0.16425981885495766,LEUTAi,1.0
0.87699,0.16425981885495766,DMATT,1.0
0.87699,0.16425981885495766,GRTT,1.0
0.87699,0.16425981885495766,UPP3S,1.0
0.87699,0.16425981885495766,UPPDC1,1.0
0.87699,0.16425981885495766,MOAT,1.0
0.87699,0.16425981885495766,UDCPDPS,1.0
0.87699,0.16425981885495766,USHD,1.0
0.87699,0.16425981885495766,MGSA,1.0
0.87699,0.16425981885495766,IMPD,1.0
0.87699,0.16425981885495766,PPS,1.0
0.87699,0.16425981885495766,LPADSS,1.0
0.87699,0.16425981885495766,TDSK,1.0
0.87699,0.16425981885495766,TMPPP,1.0
0.87699,0.16425981885495766,EDA,0.0
0.87699,0.16425981885495766,NTPP1,1.0
0.87699,0.16425981885495766,URIK1,1.0
0.87699,0.16425981885495766,URIK2,1.0
0.87699,0.16425981885495766,NTPP2,1.0
0.87699,0.16425981885495766,PGL,1.0
0.87699,0.16425981885495766,NTPTP1,0.0
0.87699,0.16425981885495766,NTPTP2,0.0
0.87699,0.16425981885495766,CYTDK1,1.0
0.87699,0.16425981885495766,DHQTi,1.0
0.87699,0.16425981885495766,IPMD,1.0
0.87699,0.16425981885495766,G6PDA,1.0
0.87699,0.16425981885495766,RNDR1,1.0
0.87699,0.16425981885495766,RNDR3,1.0
0.87699,0.16425981885495766,RNDR4,1.0
0.87699,0.16425981885495766,ALDD2y,1.0
0.87699,0.16425981885495766,TMDS,1.0
0.87699,0.16425981885495766,TMDK1,1.0
0.87699,0.16425981885495766,PPCDC,1.0
0.87699,0.16425981885495766,FTHFD,1.0
0.87699,0.16425981885495766,DHAD1,1.0
0.87699,0.16425981885495766,G3PD7,1.0
0.87699,0.16425981885495766,EDD,0
0.87699,0.16425981885495766,NADH9,0.0
0.87699,0.16425981885495766,NADH10,1.0
0.87699,0.16425981885495766,INSK,1.0
0.87699,0.16425981885495766,ABTA,0.0
0.87699,0.16425981885495766,FMNAT,1.0
0.87699,0.16425981885495766,PYDXNK,1.0
