max_growth,k_val,rxns,Z
0.87699,0.164259819,CYTDK2,1
0.87699,0.164259819,XPPT,1
0.87699,0.164259819,HXPRT,1
0.87699,0.164259819,OMPDC,1
0.87699,0.164259819,G5SD,1
0.87699,0.164259819,CS,1
0.87699,0.164259819,ALATA_L2,0
0.87699,0.164259819,PTRCTA,0
0.87699,0.164259819,ACS,1
0.87699,0.164259819,CYSDS,1
0.87699,0.164259819,PPA,1
0.87699,0.164259819,APRAUR,1
0.87699,0.164259819,PPCK,1
0.87699,0.164259819,ME1,1
0.87699,0.164259819,DB4PS,1
0.87699,0.164259819,RBFK,1
0.87699,0.164259819,XYLK,0
0.87699,0.164259819,RBK,1
0.87699,0.164259819,GLYK,1
0.87699,0.164259819,ACP1_FMN,1
0.87699,0.164259819,RBFSb,1
0.87699,0.164259819,NDP3,1
0.87699,0.164259819,CDPPH,1
0.87699,0.164259819,NDP7,1
0.87699,0.164259819,FBP,1
0.87699,0.164259819,GLGC,1
0.87699,0.164259819,ALATA_D2,0
0.87699,0.164259819,PYK,0
0.87699,0.164259819,PMDPHT,1
0.87699,0.164259819,CPPPGO,1
0.87699,0.164259819,DHORD5,1
0.87699,0.164259819,GLYCTO2,1
0.87699,0.164259819,GLYCTO3,0
0.87699,0.164259819,GLYCTO4,1
0.87699,0.164259819,RBFSa,1
0.87699,0.164259819,ACHBS,1
0.87699,0.164259819,PFK_3,1
0.87699,0.164259819,DHAD2,1
0.87699,0.164259819,ACLS,1
0.87699,0.164259819,TRPS2,1
0.87699,0.164259819,G3PD5,1
0.87699,0.164259819,G1PP,1
0.87699,0.164259819,PFL,1
0.87699,0.164259819,ANS,1
0.87699,0.164259819,FRD2,1
0.87699,0.164259819,FRD3,1
0.87699,0.164259819,ANPRT,1
0.87699,0.164259819,POX,1
0.87699,0.164259819,CHORM,1
0.87699,0.164259819,CHORS,1
0.87699,0.164259819,IGPS,1
0.87699,0.164259819,LEUTAi,1
0.87699,0.164259819,DMATT,1
0.87699,0.164259819,GRTT,1
0.87699,0.164259819,UPP3S,1
0.87699,0.164259819,UPPDC1,1
0.87699,0.164259819,MOAT,1
0.87699,0.164259819,UDCPDPS,1
0.87699,0.164259819,USHD,1
0.87699,0.164259819,MGSA,1
0.87699,0.164259819,IMPD,1
0.87699,0.164259819,PPS,1
0.87699,0.164259819,LPADSS,1
0.87699,0.164259819,TDSK,1
0.87699,0.164259819,TMPPP,1
0.87699,0.164259819,EDA,0
0.87699,0.164259819,NTPP1,1
0.87699,0.164259819,URIK1,1
0.87699,0.164259819,URIK2,1
0.87699,0.164259819,NTPP2,1
0.87699,0.164259819,PGL,1
0.87699,0.164259819,NTPTP1,0
0.87699,0.164259819,NTPTP2,0
0.87699,0.164259819,CYTDK1,1
0.87699,0.164259819,DHQTi,1
0.87699,0.164259819,IPMD,1
0.87699,0.164259819,G6PDA,1
0.87699,0.164259819,RNDR1,1
0.87699,0.164259819,RNDR3,1
0.87699,0.164259819,RNDR4,1
0.87699,0.164259819,ALDD2y,1
0.87699,0.164259819,TMDS,1
0.87699,0.164259819,TMDK1,1
0.87699,0.164259819,PPCDC,1
