max_growth,k_val,rxns,Z
0.87075,0.151204542,CYTDK2,1
0.87075,0.151204542,XPPT,1
0.87075,0.151204542,HXPRT,1
0.87075,0.151204542,OMPDC,1
0.87075,0.151204542,G5SD,1
0.87075,0.151204542,CS,1
0.87075,0.151204542,ALATA_L2,0
0.87075,0.151204542,PTRCTA,0
0.87075,0.151204542,ACS,1
0.87075,0.151204542,CYSDS,1
0.87075,0.151204542,PPA,1
0.87075,0.151204542,APRAUR,1
0.87075,0.151204542,PPCK,1
0.87075,0.151204542,ME1,1
0.87075,0.151204542,DB4PS,1
0.87075,0.151204542,RBFK,1
0.87075,0.151204542,XYLK,0
0.87075,0.151204542,RBK,1
0.87075,0.151204542,GLYK,1
0.87075,0.151204542,ACP1_FMN,1
0.87075,0.151204542,RBFSb,1
0.87075,0.151204542,NDP3,1
0.87075,0.151204542,CDPPH,1
0.87075,0.151204542,NDP7,1
0.87075,0.151204542,FBP,1
0.87075,0.151204542,GLGC,1
0.87075,0.151204542,ALATA_D2,0
0.87075,0.151204542,PYK,1
0.87075,0.151204542,PMDPHT,1
0.87075,0.151204542,CPPPGO,1
0.87075,0.151204542,DHORD5,1
0.87075,0.151204542,GLYCTO2,1
0.87075,0.151204542,GLYCTO3,0
0.87075,0.151204542,GLYCTO4,1
0.87075,0.151204542,RBFSa,1
0.87075,0.151204542,ACHBS,1
0.87075,0.151204542,PFK_3,1
0.87075,0.151204542,DHAD2,1
0.87075,0.151204542,ACLS,1
0.87075,0.151204542,TRPS2,1
0.87075,0.151204542,G3PD5,1
0.87075,0.151204542,G1PP,1
0.87075,0.151204542,PFL,1
0.87075,0.151204542,ANS,1
0.87075,0.151204542,FRD2,1
0.87075,0.151204542,FRD3,1
0.87075,0.151204542,ANPRT,1
0.87075,0.151204542,POX,1
0.87075,0.151204542,CHORM,1
0.87075,0.151204542,CHORS,1
0.87075,0.151204542,IGPS,1
0.87075,0.151204542,LEUTAi,1
0.87075,0.151204542,DMATT,1
0.87075,0.151204542,GRTT,1
0.87075,0.151204542,UPP3S,1
0.87075,0.151204542,UPPDC1,1
0.87075,0.151204542,MOAT,1
0.87075,0.151204542,UDCPDPS,1
0.87075,0.151204542,USHD,1
0.87075,0.151204542,MGSA,1
0.87075,0.151204542,IMPD,1
0.87075,0.151204542,PPS,1
0.87075,0.151204542,LPADSS,1
0.87075,0.151204542,TDSK,1
0.87075,0.151204542,TMPPP,1
0.87075,0.151204542,EDA,1
0.87075,0.151204542,NTPP1,1
0.87075,0.151204542,URIK1,0
0.87075,0.151204542,URIK2,1
0.87075,0.151204542,NTPP2,1
0.87075,0.151204542,PGL,1
0.87075,0.151204542,NTPTP1,0
0.87075,0.151204542,NTPTP2,0
0.87075,0.151204542,CYTDK1,1
0.87075,0.151204542,DHQTi,1
0.87075,0.151204542,IPMD,1
0.87075,0.151204542,G6PDA,1
0.87075,0.151204542,RNDR1,1
0.87075,0.151204542,RNDR3,1
0.87075,0.151204542,RNDR4,1
0.87075,0.151204542,ALDD2y,1
0.87075,0.151204542,TMDS,1
0.87075,0.151204542,TMDK1,1
0.87075,0.151204542,PPCDC,1
0.87075,0.151204542,FTHFD,1
0.87075,0.151204542,DHAD1,1
0.87075,0.151204542,G3PD7,1
0.87075,0.151204542,EDD,1
0.87075,0.151204542,NADH9,1
0.87075,0.151204542,NADH10,1
0.87075,0.151204542,INSK,1
0.87075,0.151204542,ABTA,0
0.87075,0.151204542,FMNAT,1
0.87075,0.151204542,PYDXNK,1
0.87075,0.151204542,PYAM5PO,0
0.87075,0.151204542,SSALx,0
0.87075,0.151204542,ASPT,1
0.87075,0.151204542,SERD_L,1
0.87075,0.151204542,NADDP,1
0.87075,0.151204542,THRD,0
0.87075,0.151204542,HEX4,1
0.87075,0.151204542,NMNAT,1
0.87075,0.151204542,HMPK1,0
0.87075,0.151204542,ACCOAC,1
0.87075,0.151204542,NADK,1
0.87075,0.151204542,GLXCL,1
0.87075,0.151204542,SUCBZS,0
0.87075,0.151204542,ICHORT,0
0.87075,0.151204542,RBK_L1,0
0.87075,0.151204542,TARTD,0
0.87075,0.151204542,NTD2,1
0.87075,0.151204542,GLCRAL,0
0.87075,0.151204542,NTD4,1
0.87075,0.151204542,NTD5,1
0.87075,0.151204542,HEMEOS,0
0.87075,0.151204542,ADMDC,0
0.87075,0.151204542,AGMT,1
0.87075,0.151204542,NTD6,1
0.87075,0.151204542,LGTHL,0
0.87075,0.151204542,PYDXPP,1
0.87075,0.151204542,PDXPP,1
0.87075,0.151204542,ARGDC,1
0.87075,0.151204542,ARGSS,1
0.87075,0.151204542,SPMS,0
0.87075,0.151204542,DXPS,1
0.87075,0.151204542,OAADC,1
0.87075,0.151204542,MNNH,0
0.87075,0.151204542,CDPMEK,1
0.87075,0.151204542,ALTRH,0
0.87075,0.151204542,DDGLK,0
0.87075,0.151204542,ICL,1
0.87075,0.151204542,UAGDP,1
0.87075,0.151204542,UAGCVT,1
0.87075,0.151204542,GLYCL,1
0.87075,0.151204542,CMPN,1
0.87075,0.151204542,NNDPR,1
