max_growth,k_val,rxns,Z
0.87699,0.1971117826259492,CYTDK2,1.0
0.87699,0.1971117826259492,XPPT,1.0
0.87699,0.1971117826259492,HXPRT,1.0
0.87699,0.1971117826259492,OMPDC,1.0
0.87699,0.1971117826259492,G5SD,1.0
0.87699,0.1971117826259492,CS,1.0
0.87699,0.1971117826259492,ALATA_L2,1.0
0.87699,0.1971117826259492,PTRCTA,1.0
0.87699,0.1971117826259492,ACS,1.0
0.87699,0.1971117826259492,CYSDS,1.0
0.87699,0.1971117826259492,PPA,1.0
0.87699,0.1971117826259492,APRAUR,1.0
0.87699,0.1971117826259492,PPCK,1.0
0.87699,0.1971117826259492,ME1,1.0
0.87699,0.1971117826259492,DB4PS,1.0
0.87699,0.1971117826259492,RBFK,1.0
0.87699,0.1971117826259492,XYLK,0
0.87699,0.1971117826259492,RBK,1.0
0.87699,0.1971117826259492,GLYK,1.0
0.87699,0.1971117826259492,ACP1_FMN,1.0
0.87699,0.1971117826259492,RBFSb,1.0
0.87699,0.1971117826259492,NDP3,1.0
0.87699,0.1971117826259492,CDPPH,1.0
0.87699,0.1971117826259492,NDP7,1.0
0.87699,0.1971117826259492,FBP,1.0
0.87699,0.1971117826259492,GLGC,1.0
0.87699,0.1971117826259492,ALATA_D2,1.0
0.87699,0.1971117826259492,PYK,1.0
0.87699,0.1971117826259492,PMDPHT,1.0
0.87699,0.1971117826259492,CPPPGO,1.0
0.87699,0.1971117826259492,DHORD5,1.0
0.87699,0.1971117826259492,GLYCTO2,1.0
0.87699,0.1971117826259492,GLYCTO3,1.0
0.87699,0.1971117826259492,GLYCTO4,1.0
0.87699,0.1971117826259492,RBFSa,1.0
0.87699,0.1971117826259492,ACHBS,1.0
0.87699,0.1971117826259492,PFK_3,1.0
0.87699,0.1971117826259492,DHAD2,1.0
0.87699,0.1971117826259492,ACLS,1.0
0.87699,0.1971117826259492,TRPS2,1.0
0.87699,0.1971117826259492,G3PD5,1.0
0.87699,0.1971117826259492,G1PP,1.0
0.87699,0.1971117826259492,PFL,1.0
0.87699,0.1971117826259492,ANS,1.0
0.87699,0.1971117826259492,FRD2,1.0
0.87699,0.1971117826259492,FRD3,1.0
0.87699,0.1971117826259492,ANPRT,1.0
0.87699,0.1971117826259492,POX,1.0
0.87699,0.1971117826259492,CHORM,1.0
0.87699,0.1971117826259492,CHORS,1.0
0.87699,0.1971117826259492,IGPS,1.0
0.87699,0.1971117826259492,LEUTAi,1.0
0.87699,0.1971117826259492,DMATT,1.0
0.87699,0.1971117826259492,GRTT,1.0
0.87699,0.1971117826259492,UPP3S,1.0
0.87699,0.1971117826259492,UPPDC1,1.0
0.87699,0.1971117826259492,MOAT,1.0
0.87699,0.1971117826259492,UDCPDPS,1.0
0.87699,0.1971117826259492,USHD,1.0
0.87699,0.1971117826259492,MGSA,1.0
0.87699,0.1971117826259492,IMPD,1.0
0.87699,0.1971117826259492,PPS,1.0
0.87699,0.1971117826259492,LPADSS,1.0
0.87699,0.1971117826259492,TDSK,1.0
0.87699,0.1971117826259492,TMPPP,1.0
0.87699,0.1971117826259492,EDA,1.0
0.87699,0.1971117826259492,NTPP1,1.0
0.87699,0.1971117826259492,URIK1,1.0
0.87699,0.1971117826259492,URIK2,1.0
0.87699,0.1971117826259492,NTPP2,1.0
0.87699,0.1971117826259492,PGL,1.0
0.87699,0.1971117826259492,NTPTP1,0.0
0.87699,0.1971117826259492,NTPTP2,0.0
0.87699,0.1971117826259492,CYTDK1,1.0
0.87699,0.1971117826259492,DHQTi,1.0
0.87699,0.1971117826259492,IPMD,1.0
0.87699,0.1971117826259492,G6PDA,1.0
0.87699,0.1971117826259492,RNDR1,1.0
0.87699,0.1971117826259492,RNDR3,1.0
0.87699,0.1971117826259492,RNDR4,1.0
0.87699,0.1971117826259492,ALDD2y,1.0
0.87699,0.1971117826259492,TMDS,1.0
0.87699,0.1971117826259492,TMDK1,1.0
0.87699,0.1971117826259492,PPCDC,1.0
0.87699,0.1971117826259492,FTHFD,1.0
0.87699,0.1971117826259492,DHAD1,1.0
0.87699,0.1971117826259492,G3PD7,1.0
0.87699,0.1971117826259492,EDD,1.0
0.87699,0.1971117826259492,NADH9,1.0
0.87699,0.1971117826259492,NADH10,1.0
0.87699,0.1971117826259492,INSK,1.0
0.87699,0.1971117826259492,ABTA,1.0
0.87699,0.1971117826259492,FMNAT,1.0
0.87699,0.1971117826259492,PYDXNK,1.0
0.87699,0.1971117826259492,PYAM5PO,1.0
0.87699,0.1971117826259492,SSALx,1.0
0.87699,0.1971117826259492,ASPT,1.0
0.87699,0.1971117826259492,SERD_L,1.0
0.87699,0.1971117826259492,NADDP,1.0
0.87699,0.1971117826259492,THRD,1.0
0.87699,0.1971117826259492,HEX4,1.0
0.87699,0.1971117826259492,NMNAT,1.0
0.87699,0.1971117826259492,HMPK1,0
0.87699,0.1971117826259492,ACCOAC,1.0
0.87699,0.1971117826259492,NADK,1.0
0.87699,0.1971117826259492,GLXCL,1.0
0.87699,0.1971117826259492,SUCBZS,0
0.87699,0.1971117826259492,ICHORT,0
0.87699,0.1971117826259492,RBK_L1,0
0.87699,0.1971117826259492,TARTD,0
0.87699,0.1971117826259492,NTD2,1.0
0.87699,0.1971117826259492,GLCRAL,0
0.87699,0.1971117826259492,NTD4,1.0
0.87699,0.1971117826259492,NTD5,1.0
0.87699,0.1971117826259492,HEMEOS,0
0.87699,0.1971117826259492,ADMDC,1.0
0.87699,0.1971117826259492,AGMT,1.0
0.87699,0.1971117826259492,NTD6,1.0
0.87699,0.1971117826259492,LGTHL,1.0
0.87699,0.1971117826259492,PYDXPP,1.0
0.87699,0.1971117826259492,PDXPP,1.0
0.87699,0.1971117826259492,ARGDC,1.0
0.87699,0.1971117826259492,ARGSS,1.0
0.87699,0.1971117826259492,SPMS,1.0
0.87699,0.1971117826259492,DXPS,1.0
0.87699,0.1971117826259492,OAADC,1.0
0.87699,0.1971117826259492,MNNH,0
0.87699,0.1971117826259492,CDPMEK,1.0
0.87699,0.1971117826259492,ALTRH,0
