k_val,mets,ln_met,exp_met
0.146,x_cytd_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_gtp_c,1.0000000000000004e-06,1.0000000000000006e-06
0.146,x_cmp_c,1.0000000000000004e-06,1.0000000000000006e-06
0.146,x_gdp_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_prpp_c,2.5317064090167692e-06,2.4919269434238873e-06
0.146,x_xan_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_ppi_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_xmp_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_hxan_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_imp_c,4.457485602309922e-06,4.401938170800406e-06
0.146,x_orot5p_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_co2_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_ump_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_glu5p_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_nadph_c,1.6887788991932544e-05,1.6829578703018554e-05
0.146,x_glu5sa_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_nadp_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_pi_c,1.0000000000000004e-06,1.0000000000000006e-06
0.146,x_accoa_c,1.0000000000000004e-06,1.0000000000000006e-06
0.146,x_oaa_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_cit_c,5.219950948793832e-05,5.186656534890703e-05
0.146,x_coa_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_ala__L_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_pydx5p_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_pyam5p_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_pyr_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_akg_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_ptrc_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_4abutn_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_glu__L_c,0.0003284836643822083,0.00031775190830698324
0.146,x_ac_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_atp_c,0.0005609430927127976,0.0005403435369108205
0.146,x_amp_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_cys__L_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_h2s_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_nh4_c,3.151666040946063e-05,3.114902318528535e-05
0.146,x_5apru_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_5aprbu_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_adp_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_pep_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_mal__L_c,1.0000000000000004e-06,1.0000000000000006e-06
0.146,x_nad_c,0.00019414767114925071,0.00018902797233464122
0.146,x_nadh_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_ru5p__D_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_db4p_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_for_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_ribflv_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_fmn_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_xylu__D_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_xu5p__D_c,1.0000000000000004e-06,1.0000000000000006e-06
0.146,x_rib__D_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_r5p_c,2.1933093302885663e-06,2.1405583165377468e-06
0.146,x_glyc_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_glyc3p_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_dmlz_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_4r5au_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_gmp_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_cdp_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_udp_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_fdp_c,1.0000000000000004e-06,1.0000000000000006e-06
0.146,x_f6p_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_g1p_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_adpglc_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_ala__D_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_cpppg3_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_o2_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_pppg9_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_dhor__S_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_mqn8_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_mql8_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_orot_c,2.3332776640846534e-06,2.2475925311946664e-06
