max_growth,k_val,MDF
0,0.19,0.01
0.677532516,0.1901,0.01
0.717390776,0.1902,0.01
0.717391228,0.1903,0.01
0.802661138,0.1904,0.01
0.804467259,0.1905,0.01
0.804467259,0.1906,0.01
0.818831134,0.1907,0.01
0.823018418,0.1908,0.01
0.824855497,0.1909,0.01
0.845983235,0.191,0.01
0.847774199,0.1911,0.01
0.847774199,0.1912,0.01
0.847774199,0.1913,0.01
0.847775653,0.1914,0.01
0.847776274,0.1915,0.01
0.847774199,0.1916,0.01
0.847776274,0.1917,0.01
0.847776274,0.1918,0.01
0.847899391,0.1919,0.01
0.847899391,0.192,0.01
0.847899391,0.1921,0.01
0.847901467,0.1922,0.01
0.849486235,0.1923,0.01
0.849486235,0.1924,0.01
0.849486235,0.1925,0.01
0.849486235,0.1926,0.01
0.859310953,0.1927,0.01
0.863627338,0.1928,0.01
0.863627338,0.1929,0.01
0.86549387,0.193,0.01
0.86549387,0.1931,0.01
0.86549387,0.1932,0.01
0.86549387,0.1933,0.01
0.865496032,0.1934,0.01
0.865496032,0.1935,0.01
0.86549387,0.1936,0.01
0.865496032,0.1937,0.01
0.865496032,0.1938,0.01
0.865493876,0.1939,0.01
0.86562435,0.194,0.01
0.86562435,0.1941,0.01
0.86562435,0.1942,0.01
0.865626513,0.1943,0.01
0.86562435,0.1944,0.01
0.867278297,0.1945,0.01
0.867278297,0.1946,0.01
0.867278297,0.1947,0.01
0.867278297,0.1948,0.01
0.869619254,0.1949,0.01
0.869619254,0.195,0.01
0.869619254,0.1951,0.01
0.86961926,0.1952,0.01
0.870748132,0.1953,0.01
0.870747135,0.1954,0.01
0.870748132,0.1955,0.01
0.870750321,0.1956,0.01
0.870748132,0.1957,0.01
0.870748132,0.1958,0.01
0.870748132,0.1959,0.01
0.870748132,0.196,0.01
0.870750321,0.1961,0.01
0.870750321,0.1962,0.01
0.870750327,0.1963,0.01
0.870748132,0.1964,0.01
0.870748132,0.1965,0.01
0.870750327,0.1966,0.01
0.870750321,0.1967,0.01
0.870750321,0.1968,0.01
0.870748132,0.1969,0.01
0.870748948,0.197,0.01
0.870748132,0.1971,0.01
0.870751143,0.1972,0.01
0.87097927,0.1973,0.01
0.870934654,0.1974,0.01
0.870934654,0.1975,0.01
0.870980462,0.1976,0.01
0.87097927,0.1977,0.01
0.87097927,0.1978,0.01
0.87097927,0.1979,0.01
0.87097927,0.198,0.01
0.87098146,0.1981,0.01
0.87097927,0.1982,0.01
0.87098146,0.1983,0.01
0.87098146,0.1984,0.01
0.87098146,0.1985,0.01
0.87098146,0.1986,0.01
0.87098146,0.1987,0.01
0.87098146,0.1988,0.01
0.870982276,0.1989,0.01
0.870982276,0.199,0.01
0.870980086,0.1991,0.01
0.870982276,0.1992,0.01
0.870982276,0.1993,0.01
0.870980093,0.1994,0.01
0.87098146,0.1995,0.01
0.870982276,0.1996,0.01
0.870982276,0.1997,0.01
0.871511804,0.1998,0.01
0.871511804,0.1999,0.01
0.871511804,0.2,0.01
0.871513996,0.2001,0.01
0.871513996,0.2002,0.01
0.871513996,0.2003,0.01
0.871513996,0.2004,0.01
0.871513996,0.2005,0.01
0.872645604,0.2006,0.01
0.872645604,0.2007,0.01
0.872645604,0.2008,0.01
0.872647803,0.2009,0.01
0.872645604,0.201,0.01
0.872647803,0.2011,0.01
0.872600818,0.2012,0.01
0.872647803,0.2013,0.01
0.872647803,0.2014,0.01
0.873569352,0.2015,0.01
0.873703272,0.2016,0.01
0.873703272,0.2017,0.01
0.874708516,0.2018,0.01
0.874842786,0.2019,0.01
0.874842786,0.202,0.01
0.874842786,0.2021,0.01
0.874842792,0.2022,0.01
0.874844995,0.2023,0.01
0.874844995,0.2024,0.01
0.874941762,0.2025,0.01
0.875076103,0.2026,0.01
0.875076103,0.2027,0.01
0.875076103,0.2028,0.01
0.875076109,0.2029,0.01
0.875076109,0.203,0.01
0.875076103,0.2031,0.01
0.875076109,0.2032,0.01
0.875078313,0.2033,0.01
0.875076103,0.2034,0.01
0.875076103,0.2035,0.01
0.875076103,0.2036,0.01
0.87507832,0.2037,0.01
0.875076103,0.2038,0.01
0.87507832,0.2039,0.01
0.875076103,0.204,0.01
0.87507832,0.2041,0.01
0.875079137,0.2042,0.01
0.875076109,0.2043,0.01
0.87507832,0.2044,0.01
0.875076927,0.2045,0.01
0.87507832,0.2046,0.01
0.875078313,0.2047,0.01
0.875079144,0.2048,0.01
0.875079137,0.2049,0.01
0.875078313,0.205,0.01
0.875076109,0.2051,0.01
0.875079144,0.2052,0.01
0.875079144,0.2053,0.01
0.875079144,0.2054,0.01
0.87507832,0.2055,0.01
0.87507832,0.2056,0.01
0.875079144,0.2057,0.01
0.875076933,0.2058,0.01
0.87507832,0.2059,0.01
0.875079144,0.206,0.01
0.875076927,0.2061,0.01
0.875079137,0.2062,0.01
0.875079144,0.2063,0.01
0.875078313,0.2064,0.01
0.875079137,0.2065,0.01
0.875079137,0.2066,0.01
0.875079137,0.2067,0.01
0.875079137,0.2068,0.01
0.875479154,0.2069,0.01
0.87561366,0.207,0.01
0.87561366,0.2071,0.01
0.87561366,0.2072,0.01
