K,mu_GND,mu_OG,mu_EDD
0.0034,0.864865615,0.87271943,0.87271943
0.003395,0.863091829,0.87271943,0.87271943
0.00339,0.856040456,0.87271943,0.87271943
0.003385,0.856040456,0.87271943,0.87271943
0.00338,0.856040456,0.87271943,0.87271943
0.003375,0.856040456,0.87271943,0.87271943
0.00337,0.856040456,0.87271943,0.87271943
0.003365,0.856040456,0.87271943,0.87271943
0.00336,0.856040456,0.870875767,0.870875767
0.003355,0.856040456,0.870875239,0.870875239
0.00335,0.856040456,0.868404816,0.868404279
0.003345,0.856040456,0.868404816,0.868404816
0.00334,0.854284769,0.866536596,0.866536596
0.003335,0.842483282,0.866536061,0.866536061
0.00333,0.842483282,0.851157016,0.851157016
0.003325,0.842482667,0.851157016,0.851157016
0.00332,0.842483282,0.851157016,0.851157016
0.003315,0.842483282,0.851157016,0.851157016
0.00331,0.842483282,0.851157016,0.851157016
0.003305,0.842482771,0.851157016,0.851157016
0.0033,0.842483282,0.851157016,0.851157016
0.003295,0.842483282,0.851157016,0.851157016
0.00329,0.842483282,0.851157016,0.851157016
0.003285,0.842483282,0.851157016,0.851157016
0.00328,0.842483282,0.851157016,0.851157016
0.003275,0.842483282,0.851157016,0.851157016
0.00327,0.842483282,0.851157016,0.851157016
0.003265,0.842483282,0.851157016,0.851157016
0.00326,0.842483282,0.851157016,0.851157016
0.003255,0.842483282,0.851157016,0.851157016
0.00325,0.842483282,0.851157016,0.851157016
0.003245,0.842483282,0.851157016,0.851157016
0.00324,0.842483282,0.851157016,0.851157016
0.003235,0.842483282,0.851157016,0.851157016
0.00323,0.842483282,0.851157016,0.851157016
0.003225,0.842483282,0.851157016,0.851157016
0.00322,0.842483282,0.851157016,0.851157016
0.003215,0.842483282,0.851157016,0.851157016
0.00321,0.842483282,0.851157016,0.851157016
0.003205,0.842483282,0.851157016,0.851157016
0.0032,0.842483282,0.851157016,0.851156753
0.003195,0.842483282,0.851157016,0.851157016
0.00319,0.842483282,0.851157016,0.851157016
0.003185,0.842483282,0.849261359,0.849261359
0.00318,0.842483282,0.847821281,0.847821281
