max_growth,k_val,mets,min,max
0.902,0.019781247334582485,cytd,1.0000000000000004e-06,9.999999995438249e-07
0.902,0.019781247334582485,gtp,1.0844900807180014e-06,1.540921317113877e-06
0.902,0.019781247334582485,cmp,1.0000000000000004e-06,9.999999995537176e-07
0.902,0.019781247334582485,gdp,1.0000000000000004e-06,9.999999997522591e-07
0.902,0.019781247334582485,h,1.0,1.0
0.902,0.019781247334582485,prpp,1.7721344148527191e-06,3.3199478249086817e-06
0.902,0.019781247334582485,xan,1.0000000000000004e-06,9.999999995595723e-07
0.902,0.019781247334582485,ppi,1.0000000000000004e-06,9.999999998402135e-07
0.902,0.019781247334582485,xmp,1.0000000000000004e-06,1.0000000016698504e-06
0.902,0.019781247334582485,hxan,1.0000000000000004e-06,1.0001000091552005e-06
0.902,0.019781247334582485,imp,1.0845840302589247e-06,1.5409213170924063e-06
0.902,0.019781247334582485,orot5p,1.0000000000000004e-06,9.999999998450133e-07
0.902,0.019781247334582485,co2,0.00308877680444663,0.003088780476140307
0.902,0.019781247334582485,ump,1.0000000000000004e-06,1.0001000090438419e-06
0.902,0.019781247334582485,glu5p,1.0000000000000004e-06,9.999999999977604e-07
0.902,0.019781247334582485,nadph,1.4448273286880736e-06,1.451365131578237e-06
0.902,0.019781247334582485,glu5sa,1.0000000000000004e-06,9.999999995751776e-07
0.902,0.019781247334582485,nadp,1.0000000000000004e-06,9.999999997553605e-07
0.902,0.019781247334582485,pi,9.97196816210016e-05,9.971968162012671e-05
0.902,0.019781247334582485,accoa,0.0008727300383910125,0.0008727300383829744
0.902,0.019781247334582485,h2o,1.0,1.0
0.902,0.019781247334582485,oaa,1.0000000000000004e-06,1.0000027636831777e-06
0.902,0.019781247334582485,cit,5.196026396947529e-05,5.196026396896912e-05
0.902,0.019781247334582485,coa,1.0000000000000004e-06,1.0000000822779287e-06
0.902,0.019781247334582485,ala__L,1.0000000000000004e-06,1.0001000091820368e-06
0.902,0.019781247334582485,pydx5p,1.0000000000000004e-06,9.999999995492997e-07
0.902,0.019781247334582485,pyam5p,1.0000000000000004e-06,9.999999995628177e-07
0.902,0.019781247334582485,pyr,1.3529876978991894e-06,1.5410548042090553e-06
0.902,0.019781247334582485,akg,1.0000000000000004e-06,1.0000000031680086e-06
0.902,0.019781247334582485,ptrc,1.0000000000000004e-06,9.999999995747246e-07
0.902,0.019781247334582485,4abutn,1.0000000000000004e-06,9.999999995549983e-07
0.902,0.019781247334582485,glu__L,0.00025439985618625984,0.00025439995740677256
0.902,0.019781247334582485,ac,0.0009468911891280757,0.0009468911891248462
0.902,0.019781247334582485,atp,0.0007152320659150537,0.0007152323181929689
0.902,0.019781247334582485,amp,1.0000000000000004e-06,9.99999999552824e-07
