max_growth,k_val,rxns,Z
0.9008278,0.016287690687355187,CYTDK2,1.0
0.9008278,0.016287690687355187,XPPT,1.0
0.9008278,0.016287690687355187,HXPRT,1.0
0.9008278,0.016287690687355187,OMPDC,1.0
0.9008278,0.016287690687355187,G5SD,1.0
0.9008278,0.016287690687355187,CS,1.0
0.9008278,0.016287690687355187,ALATA_L2,0
0.9008278,0.016287690687355187,PTRCTA,0
0.9008278,0.016287690687355187,ACS,1.0
0.9008278,0.016287690687355187,CYSDS,1.0
0.9008278,0.016287690687355187,PPA,1.0
0.9008278,0.016287690687355187,APRAUR,1.0
0.9008278,0.016287690687355187,PPCK,0
0.9008278,0.016287690687355187,ME1,1.0
0.9008278,0.016287690687355187,DB4PS,1.0
0.9008278,0.016287690687355187,RBFK,0
0.9008278,0.016287690687355187,XYLK,0
0.9008278,0.016287690687355187,RBK,1.0
0.9008278,0.016287690687355187,GLYK,1.0
0.9008278,0.016287690687355187,ACP1_FMN,1.0
0.9008278,0.016287690687355187,RBFSb,1.0
0.9008278,0.016287690687355187,NDP3,0
0.9008278,0.016287690687355187,CDPPH,1.0
0.9008278,0.016287690687355187,NDP7,1.0
0.9008278,0.016287690687355187,FBP,1.0
0.9008278,0.016287690687355187,GLGC,0
0.9008278,0.016287690687355187,ALATA_D2,0
0.9008278,0.016287690687355187,PYK,0
0.9008278,0.016287690687355187,PMDPHT,1.0
0.9008278,0.016287690687355187,CPPPGO,1.0
0.9008278,0.016287690687355187,DHORD5,1.0
0.9008278,0.016287690687355187,GLYCTO2,1.0
0.9008278,0.016287690687355187,GLYCTO3,0
0.9008278,0.016287690687355187,GLYCTO4,0
0.9008278,0.016287690687355187,RBFSa,1.0
0.9008278,0.016287690687355187,ACHBS,1.0
0.9008278,0.016287690687355187,PFK_3,1.0
0.9008278,0.016287690687355187,DHAD2,1.0
0.9008278,0.016287690687355187,ACLS,1.0
0.9008278,0.016287690687355187,TRPS2,1.0
0.9008278,0.016287690687355187,G3PD5,1.0
0.9008278,0.016287690687355187,G1PP,1.0
0.9008278,0.016287690687355187,PFL,1.0
0.9008278,0.016287690687355187,ANS,1.0
0.9008278,0.016287690687355187,FRD2,1.0
0.9008278,0.016287690687355187,FRD3,1.0
0.9008278,0.016287690687355187,ANPRT,1.0
0.9008278,0.016287690687355187,POX,1.0
0.9008278,0.016287690687355187,CHORM,1.0
0.9008278,0.016287690687355187,CHORS,0
0.9008278,0.016287690687355187,IGPS,1.0
0.9008278,0.016287690687355187,LEUTAi,1.0
0.9008278,0.016287690687355187,DMATT,0
0.9008278,0.016287690687355187,GRTT,0
0.9008278,0.016287690687355187,UPP3S,0
0.9008278,0.016287690687355187,UPPDC1,0
0.9008278,0.016287690687355187,MOAT,1.0
0.9008278,0.016287690687355187,UDCPDPS,1.0
0.9008278,0.016287690687355187,USHD,1.0
0.9008278,0.016287690687355187,MGSA,0
0.9008278,0.016287690687355187,IMPD,1.0
0.9008278,0.016287690687355187,PPS,0
0.9008278,0.016287690687355187,LPADSS,1.0
