max_growth,k_val,rxns,Z
0.8305,0.0026957434573120945,CYTDK2,1.0
0.8305,0.0026957434573120945,XPPT,1.0
0.8305,0.0026957434573120945,HXPRT,1.0
0.8305,0.0026957434573120945,OMPDC,1.0
0.8305,0.0026957434573120945,G5SD,1.0
0.8305,0.0026957434573120945,CS,1.0
0.8305,0.0026957434573120945,ALATA_L2,0.0
0.8305,0.0026957434573120945,PTRCTA,0.0
0.8305,0.0026957434573120945,ACS,1.0
0.8305,0.0026957434573120945,CYSDS,1.0
0.8305,0.0026957434573120945,PPA,1.0
0.8305,0.0026957434573120945,APRAUR,1.0
0.8305,0.0026957434573120945,PPCK,1.0
0.8305,0.0026957434573120945,ME1,1.0
0.8305,0.0026957434573120945,DB4PS,1.0
0.8305,0.0026957434573120945,RBFK,1.0
0.8305,0.0026957434573120945,XYLK,0
0.8305,0.0026957434573120945,RBK,1.0
0.8305,0.0026957434573120945,GLYK,1.0
0.8305,0.0026957434573120945,ACP1_FMN,1.0
0.8305,0.0026957434573120945,RBFSb,1.0
0.8305,0.0026957434573120945,NDP3,1.0
0.8305,0.0026957434573120945,CDPPH,1.0
0.8305,0.0026957434573120945,NDP7,1.0
0.8305,0.0026957434573120945,FBP,1.0
0.8305,0.0026957434573120945,GLGC,1.0
0.8305,0.0026957434573120945,ALATA_D2,0.0
0.8305,0.0026957434573120945,PYK,1.0
0.8305,0.0026957434573120945,PMDPHT,1.0
0.8305,0.0026957434573120945,CPPPGO,1.0
0.8305,0.0026957434573120945,DHORD5,1.0
0.8305,0.0026957434573120945,GLYCTO2,1.0
0.8305,0.0026957434573120945,GLYCTO3,0.0
0.8305,0.0026957434573120945,GLYCTO4,1.0
0.8305,0.0026957434573120945,RBFSa,1.0
0.8305,0.0026957434573120945,ACHBS,1.0
0.8305,0.0026957434573120945,PFK_3,1.0
0.8305,0.0026957434573120945,DHAD2,1.0
0.8305,0.0026957434573120945,ACLS,1.0
0.8305,0.0026957434573120945,TRPS2,1.0
0.8305,0.0026957434573120945,G3PD5,1.0
0.8305,0.0026957434573120945,G1PP,0
0.8305,0.0026957434573120945,PFL,1.0
0.8305,0.0026957434573120945,ANS,1.0
0.8305,0.0026957434573120945,FRD2,1.0
0.8305,0.0026957434573120945,FRD3,1.0
0.8305,0.0026957434573120945,ANPRT,1.0
0.8305,0.0026957434573120945,POX,1.0
0.8305,0.0026957434573120945,CHORM,1.0
0.8305,0.0026957434573120945,CHORS,1.0
0.8305,0.0026957434573120945,IGPS,1.0
0.8305,0.0026957434573120945,LEUTAi,1.0
0.8305,0.0026957434573120945,DMATT,1.0
0.8305,0.0026957434573120945,GRTT,1.0
0.8305,0.0026957434573120945,UPP3S,1.0
0.8305,0.0026957434573120945,UPPDC1,1.0
0.8305,0.0026957434573120945,MOAT,1.0
0.8305,0.0026957434573120945,UDCPDPS,1.0
0.8305,0.0026957434573120945,USHD,1.0
0.8305,0.0026957434573120945,MGSA,1.0
0.8305,0.0026957434573120945,IMPD,1.0
0.8305,0.0026957434573120945,PPS,1.0
0.8305,0.0026957434573120945,LPADSS,1.0
0.8305,0.0026957434573120945,TDSK,1.0
0.8305,0.0026957434573120945,TMPPP,1.0
0.8305,0.0026957434573120945,EDA,1.0
0.8305,0.0026957434573120945,NTPP1,1.0
0.8305,0.0026957434573120945,URIK1,1.0
0.8305,0.0026957434573120945,URIK2,1.0
0.8305,0.0026957434573120945,NTPP2,1.0
0.8305,0.0026957434573120945,PGL,1.0
0.8305,0.0026957434573120945,NTPTP1,0.0
0.8305,0.0026957434573120945,NTPTP2,0.0
0.8305,0.0026957434573120945,CYTDK1,1.0
0.8305,0.0026957434573120945,DHQTi,1.0
0.8305,0.0026957434573120945,IPMD,1.0
0.8305,0.0026957434573120945,G6PDA,1.0
0.8305,0.0026957434573120945,RNDR1,1.0
0.8305,0.0026957434573120945,RNDR3,1.0
0.8305,0.0026957434573120945,RNDR4,1.0
0.8305,0.0026957434573120945,ALDD2y,1.0
0.8305,0.0026957434573120945,TMDS,1.0
0.8305,0.0026957434573120945,TMDK1,1.0
0.8305,0.0026957434573120945,PPCDC,1.0
0.8305,0.0026957434573120945,FTHFD,1.0
0.8305,0.0026957434573120945,DHAD1,1.0
0.8305,0.0026957434573120945,G3PD7,1.0
0.8305,0.0026957434573120945,EDD,1.0
0.8305,0.0026957434573120945,NADH9,1.0
0.8305,0.0026957434573120945,NADH10,1.0
0.8305,0.0026957434573120945,INSK,1.0
0.8305,0.0026957434573120945,ABTA,0.0
0.8305,0.0026957434573120945,FMNAT,1.0
0.8305,0.0026957434573120945,PYDXNK,1.0
0.8305,0.0026957434573120945,PYAM5PO,0
0.8305,0.0026957434573120945,SSALx,0
0.8305,0.0026957434573120945,ASPT,1.0
0.8305,0.0026957434573120945,SERD_L,1.0
0.8305,0.0026957434573120945,NADDP,1.0
0.8305,0.0026957434573120945,THRD,0.0
0.8305,0.0026957434573120945,HEX4,1.0
0.8305,0.0026957434573120945,NMNAT,1.0
0.8305,0.0026957434573120945,HMPK1,0
0.8305,0.0026957434573120945,ACCOAC,1.0
0.8305,0.0026957434573120945,NADK,1.0
0.8305,0.0026957434573120945,GLXCL,1.0
0.8305,0.0026957434573120945,SUCBZS,0
0.8305,0.0026957434573120945,ICHORT,0
0.8305,0.0026957434573120945,RBK_L1,0
0.8305,0.0026957434573120945,TARTD,0
0.8305,0.0026957434573120945,NTD2,1.0
0.8305,0.0026957434573120945,GLCRAL,0
0.8305,0.0026957434573120945,NTD4,1.0
0.8305,0.0026957434573120945,NTD5,1.0
0.8305,0.0026957434573120945,HEMEOS,0
0.8305,0.0026957434573120945,ADMDC,1.0
0.8305,0.0026957434573120945,AGMT,1.0
0.8305,0.0026957434573120945,NTD6,1.0
0.8305,0.0026957434573120945,LGTHL,0.0
0.8305,0.0026957434573120945,PYDXPP,1.0
0.8305,0.0026957434573120945,PDXPP,1.0
0.8305,0.0026957434573120945,ARGDC,1.0
0.8305,0.0026957434573120945,ARGSS,1.0
0.8305,0.0026957434573120945,SPMS,1.0
0.8305,0.0026957434573120945,DXPS,1.0
0.8305,0.0026957434573120945,OAADC,1.0
0.8305,0.0026957434573120945,MNNH,0
0.8305,0.0026957434573120945,CDPMEK,1.0
0.8305,0.0026957434573120945,ALTRH,0
0.8305,0.0026957434573120945,DDGLK,0
0.8305,0.0026957434573120945,ICL,1.0
0.8305,0.0026957434573120945,UAGDP,1.0
0.8305,0.0026957434573120945,UAGCVT,1.0
0.8305,0.0026957434573120945,GLYCL,1.0
0.8305,0.0026957434573120945,CMPN,1.0
0.8305,0.0026957434573120945,NNDPR,1.0
0.8305,0.0026957434573120945,HCYSMT,1.0
0.8305,0.0026957434573120945,DMQMT,0
0.8305,0.0026957434573120945,LACZ,0
0.8305,0.0026957434573120945,TRE6PH,0
0.8305,0.0026957434573120945,PPC,1.0
0.8305,0.0026957434573120945,ICHORS_copy1,0.0
0.8305,0.0026957434573120945,G3PT,1.0
0.8305,0.0026957434573120945,CINNDO,0
0.8305,0.0026957434573120945,DHPPD,0
0.8305,0.0026957434573120945,DHCIND,0
0.8305,0.0026957434573120945,CITL,1.0
0.8305,0.0026957434573120945,GOFUCR,0
0.8305,0.0026957434573120945,PYDXK,1.0
0.8305,0.0026957434573120945,DNMPPA,1.0
0.8305,0.0026957434573120945,HPPK2,1.0
0.8305,0.0026957434573120945,PTPATi,1.0
0.8305,0.0026957434573120945,HEX7,1.0
0.8305,0.0026957434573120945,DXPRIi,1.0
0.8305,0.0026957434573120945,GTPCII2,1.0
0.8305,0.0026957434573120945,URIC,1.0
0.8305,0.0026957434573120945,SADT2,1.0
0.8305,0.0026957434573120945,OPHBDC,1.0
0.8305,0.0026957434573120945,OHPHM,0
0.8305,0.0026957434573120945,DHORD2,1.0
0.8305,0.0026957434573120945,PFK_2,0
0.8305,0.0026957434573120945,ACACCT,0.0
0.8305,0.0026957434573120945,SDPDS,1.0
0.8305,0.0026957434573120945,DMSOR1,0
0.8305,0.0026957434573120945,PGLYCP,0
0.8305,0.0026957434573120945,DKGLCNR2y,0
0.8305,0.0026957434573120945,G1PTT,0.0
0.8305,0.0026957434573120945,TDPGDH,0
0.8305,0.0026957434573120945,ADCS,1.0
0.8305,0.0026957434573120945,ADCL,1.0
0.8305,0.0026957434573120945,DHAPT,1.0
0.8305,0.0026957434573120945,UDPGALM,0.0
0.8305,0.0026957434573120945,TDPDRE,0
0.8305,0.0026957434573120945,TDPDRR,0
0.8305,0.0026957434573120945,RZ5PP,0
0.8305,0.0026957434573120945,DURIK1,1.0
0.8305,0.0026957434573120945,G3PD6,1.0
0.8305,0.0026957434573120945,ALLTN,1.0
0.8305,0.0026957434573120945,UAPGR,1.0
0.8305,0.0026957434573120945,UPPRT,1.0
0.8305,0.0026957434573120945,NTD9,1.0
0.8305,0.0026957434573120945,CTPS2,1.0
0.8305,0.0026957434573120945,NTD1,1.0
0.8305,0.0026957434573120945,NTD7,1.0
0.8305,0.0026957434573120945,PAPPT3,1.0
0.8305,0.0026957434573120945,UAGPT3,1.0
0.8305,0.0026957434573120945,AOBUTDs,0
0.8305,0.0026957434573120945,ADNUC,1.0
0.8305,0.0026957434573120945,GMHEPPA,0
0.8305,0.0026957434573120945,S7PI,0.0
0.8305,0.0026957434573120945,TRPS3,1.0
0.8305,0.0026957434573120945,AGMHE,0
0.8305,0.0026957434573120945,NTD10,1.0
0.8305,0.0026957434573120945,GMHEPAT,0
0.8305,0.0026957434573120945,ADPT,1.0
0.8305,0.0026957434573120945,IDOND2,0
0.8305,0.0026957434573120945,FADRx,1.0
0.8305,0.0026957434573120945,GTPDPK,1.0
0.8305,0.0026957434573120945,NADN,1.0
0.8305,0.0026957434573120945,GLYCLTDx,1.0
0.8305,0.0026957434573120945,HPYRRy,1.0
0.8305,0.0026957434573120945,ACODA,1.0
0.8305,0.0026957434573120945,ADA,1.0
0.8305,0.0026957434573120945,DADA,1.0
0.8305,0.0026957434573120945,ADD,1.0
0.8305,0.0026957434573120945,HBZOPT,1.0
0.8305,0.0026957434573120945,PNTK,1.0
0.8305,0.0026957434573120945,ADSS,1.0
0.8305,0.0026957434573120945,AGDC,1.0
0.8305,0.0026957434573120945,OCTDPS,1.0
0.8305,0.0026957434573120945,ASNN,1.0
0.8305,0.0026957434573120945,DPCOAK,1.0
0.8305,0.0026957434573120945,HETZK,0
0.8305,0.0026957434573120945,ASNS2,1.0
0.8305,0.0026957434573120945,ASPCT,1.0
0.8305,0.0026957434573120945,KDOPS,1.0
0.8305,0.0026957434573120945,KDOPP,1.0
0.8305,0.0026957434573120945,DMPPS,1.0
0.8305,0.0026957434573120945,IPDPS,1.0
0.8305,0.0026957434573120945,AST,0
0.8305,0.0026957434573120945,SGDS,0
0.8305,0.0026957434573120945,CYNTAH,0
0.8305,0.0026957434573120945,DHDPRy,1.0
0.8305,0.0026957434573120945,HSK,1.0
0.8305,0.0026957434573120945,GSPMDA,1.0
0.8305,0.0026957434573120945,GSPMDS,1.0
0.8305,0.0026957434573120945,GUAD,0.0
0.8305,0.0026957434573120945,THRS,1.0
0.8305,0.0026957434573120945,HSST,1.0
0.8305,0.0026957434573120945,PPNDH,1.0
0.8305,0.0026957434573120945,TMAOR1,0
0.8305,0.0026957434573120945,TMAOR2,0
0.8305,0.0026957434573120945,TRDR,1.0
0.8305,0.0026957434573120945,DDPA,1.0
0.8305,0.0026957434573120945,NMNDA,1.0
0.8305,0.0026957434573120945,NNAM,1.0
0.8305,0.0026957434573120945,P5CD,1.0
0.8305,0.0026957434573120945,FRUK,0
0.8305,0.0026957434573120945,SPMDAT1,0
0.8305,0.0026957434573120945,RHCCE,1.0
0.8305,0.0026957434573120945,KG6PDC,0
0.8305,0.0026957434573120945,SPMDAT2,0
0.8305,0.0026957434573120945,TDPADGAT,0
0.8305,0.0026957434573120945,MALS,1.0
0.8305,0.0026957434573120945,X5PL3E,0.0
0.8305,0.0026957434573120945,DOGULNR,0
0.8305,0.0026957434573120945,TRE6PP,0
0.8305,0.0026957434573120945,BETALDHx,0
0.8305,0.0026957434573120945,BETALDHy,0
0.8305,0.0026957434573120945,MLTG3,0
