max_growth,k_val,rxns,Z
0.902,0.019781247334582485,CYTDK2,1.0
0.902,0.019781247334582485,XPPT,1.0
0.902,0.019781247334582485,HXPRT,1.0
0.902,0.019781247334582485,OMPDC,1.0
0.902,0.019781247334582485,G5SD,1.0
0.902,0.019781247334582485,CS,1.0
0.902,0.019781247334582485,ALATA_L2,0.0
0.902,0.019781247334582485,PTRCTA,0.0
0.902,0.019781247334582485,ACS,1.0
0.902,0.019781247334582485,CYSDS,1.0
0.902,0.019781247334582485,PPA,1.0
0.902,0.019781247334582485,APRAUR,1.0
0.902,0.019781247334582485,PPCK,1.0
0.902,0.019781247334582485,ME1,1.0
0.902,0.019781247334582485,DB4PS,1.0
0.902,0.019781247334582485,RBFK,1.0
0.902,0.019781247334582485,XYLK,0
0.902,0.019781247334582485,RBK,1.0
0.902,0.019781247334582485,GLYK,1.0
0.902,0.019781247334582485,ACP1_FMN,1.0
0.902,0.019781247334582485,RBFSb,1.0
0.902,0.019781247334582485,NDP3,1.0
0.902,0.019781247334582485,CDPPH,1.0
0.902,0.019781247334582485,NDP7,1.0
0.902,0.019781247334582485,FBP,1.0
0.902,0.019781247334582485,GLGC,1.0
0.902,0.019781247334582485,ALATA_D2,0.0
0.902,0.019781247334582485,PYK,1.0
0.902,0.019781247334582485,PMDPHT,1.0
0.902,0.019781247334582485,CPPPGO,1.0
0.902,0.019781247334582485,DHORD5,1.0
0.902,0.019781247334582485,GLYCTO2,1.0
0.902,0.019781247334582485,GLYCTO3,0.0
0.902,0.019781247334582485,GLYCTO4,1.0
0.902,0.019781247334582485,RBFSa,1.0
0.902,0.019781247334582485,ACHBS,1.0
0.902,0.019781247334582485,PFK_3,1.0
0.902,0.019781247334582485,DHAD2,1.0
0.902,0.019781247334582485,ACLS,1.0
0.902,0.019781247334582485,TRPS2,1.0
0.902,0.019781247334582485,G3PD5,1.0
0.902,0.019781247334582485,G1PP,1.0
0.902,0.019781247334582485,PFL,1.0
0.902,0.019781247334582485,ANS,1.0
0.902,0.019781247334582485,FRD2,1.0
0.902,0.019781247334582485,FRD3,1.0
0.902,0.019781247334582485,ANPRT,1.0
0.902,0.019781247334582485,POX,1.0
0.902,0.019781247334582485,CHORM,1.0
0.902,0.019781247334582485,CHORS,1.0
0.902,0.019781247334582485,IGPS,1.0
0.902,0.019781247334582485,LEUTAi,1.0
0.902,0.019781247334582485,DMATT,1.0
0.902,0.019781247334582485,GRTT,1.0
0.902,0.019781247334582485,UPP3S,1.0
0.902,0.019781247334582485,UPPDC1,1.0
0.902,0.019781247334582485,MOAT,1.0
0.902,0.019781247334582485,UDCPDPS,1.0
0.902,0.019781247334582485,USHD,1.0
0.902,0.019781247334582485,MGSA,1.0
0.902,0.019781247334582485,IMPD,1.0
0.902,0.019781247334582485,PPS,1.0
0.902,0.019781247334582485,LPADSS,1.0
0.902,0.019781247334582485,TDSK,1.0
0.902,0.019781247334582485,TMPPP,1.0
0.902,0.019781247334582485,EDA,1.0
0.902,0.019781247334582485,NTPP1,1.0
0.902,0.019781247334582485,URIK1,1.0
0.902,0.019781247334582485,URIK2,1.0
0.902,0.019781247334582485,NTPP2,1.0
0.902,0.019781247334582485,PGL,1.0
0.902,0.019781247334582485,NTPTP1,0.0
0.902,0.019781247334582485,NTPTP2,0.0
0.902,0.019781247334582485,CYTDK1,1.0
0.902,0.019781247334582485,DHQTi,1.0
0.902,0.019781247334582485,IPMD,1.0
0.902,0.019781247334582485,G6PDA,1.0
0.902,0.019781247334582485,RNDR1,1.0
0.902,0.019781247334582485,RNDR3,1.0
0.902,0.019781247334582485,RNDR4,1.0
0.902,0.019781247334582485,ALDD2y,1.0
0.902,0.019781247334582485,TMDS,1.0
0.902,0.019781247334582485,TMDK1,1.0
0.902,0.019781247334582485,PPCDC,1.0
0.902,0.019781247334582485,FTHFD,1.0
0.902,0.019781247334582485,DHAD1,1.0
0.902,0.019781247334582485,G3PD7,1.0
0.902,0.019781247334582485,EDD,1.0
0.902,0.019781247334582485,NADH9,1.0
0.902,0.019781247334582485,NADH10,1.0
0.902,0.019781247334582485,INSK,1.0
0.902,0.019781247334582485,ABTA,0.0
0.902,0.019781247334582485,FMNAT,1.0
0.902,0.019781247334582485,PYDXNK,1.0
0.902,0.019781247334582485,PYAM5PO,0
0.902,0.019781247334582485,SSALx,0
0.902,0.019781247334582485,ASPT,1.0
0.902,0.019781247334582485,SERD_L,1.0
0.902,0.019781247334582485,NADDP,1.0
0.902,0.019781247334582485,THRD,0.0
0.902,0.019781247334582485,HEX4,1.0
0.902,0.019781247334582485,NMNAT,1.0
0.902,0.019781247334582485,HMPK1,0
0.902,0.019781247334582485,ACCOAC,1.0
0.902,0.019781247334582485,NADK,1.0
0.902,0.019781247334582485,GLXCL,0.0
0.902,0.019781247334582485,SUCBZS,0
0.902,0.019781247334582485,ICHORT,0
0.902,0.019781247334582485,RBK_L1,0
0.902,0.019781247334582485,TARTD,0
0.902,0.019781247334582485,NTD2,1.0
0.902,0.019781247334582485,GLCRAL,0
0.902,0.019781247334582485,NTD4,1.0
0.902,0.019781247334582485,NTD5,1.0
0.902,0.019781247334582485,HEMEOS,0
0.902,0.019781247334582485,ADMDC,1.0
0.902,0.019781247334582485,AGMT,1.0
0.902,0.019781247334582485,NTD6,0
0.902,0.019781247334582485,LGTHL,0.0
0.902,0.019781247334582485,PYDXPP,1.0
0.902,0.019781247334582485,PDXPP,1.0
0.902,0.019781247334582485,ARGDC,1.0
0.902,0.019781247334582485,ARGSS,1.0
0.902,0.019781247334582485,SPMS,1.0
0.902,0.019781247334582485,DXPS,1.0
0.902,0.019781247334582485,OAADC,1.0
0.902,0.019781247334582485,MNNH,0
0.902,0.019781247334582485,CDPMEK,1.0
0.902,0.019781247334582485,ALTRH,0
0.902,0.019781247334582485,DDGLK,0
0.902,0.019781247334582485,ICL,1.0
0.902,0.019781247334582485,UAGDP,1.0
0.902,0.019781247334582485,UAGCVT,1.0
0.902,0.019781247334582485,GLYCL,0.0
0.902,0.019781247334582485,CMPN,1.0
0.902,0.019781247334582485,NNDPR,1.0
0.902,0.019781247334582485,HCYSMT,1.0
0.902,0.019781247334582485,DMQMT,0
0.902,0.019781247334582485,LACZ,0
0.902,0.019781247334582485,TRE6PH,1.0
0.902,0.019781247334582485,PPC,1.0
0.902,0.019781247334582485,ICHORS_copy1,0.0
0.902,0.019781247334582485,G3PT,1.0
0.902,0.019781247334582485,CINNDO,0
0.902,0.019781247334582485,DHPPD,0
0.902,0.019781247334582485,DHCIND,0
0.902,0.019781247334582485,CITL,1.0
0.902,0.019781247334582485,GOFUCR,0.0
0.902,0.019781247334582485,PYDXK,1.0
0.902,0.019781247334582485,DNMPPA,1.0
0.902,0.019781247334582485,HPPK2,1.0
0.902,0.019781247334582485,PTPATi,1.0
0.902,0.019781247334582485,HEX7,1.0
0.902,0.019781247334582485,DXPRIi,1.0
0.902,0.019781247334582485,GTPCII2,1.0
0.902,0.019781247334582485,URIC,1.0
0.902,0.019781247334582485,SADT2,1.0
0.902,0.019781247334582485,OPHBDC,1.0
0.902,0.019781247334582485,OHPHM,0
0.902,0.019781247334582485,DHORD2,1.0
0.902,0.019781247334582485,PFK_2,0
0.902,0.019781247334582485,ACACCT,0.0
0.902,0.019781247334582485,SDPDS,1.0
0.902,0.019781247334582485,DMSOR1,0
0.902,0.019781247334582485,PGLYCP,0
0.902,0.019781247334582485,DKGLCNR2y,0
0.902,0.019781247334582485,G1PTT,0.0
0.902,0.019781247334582485,TDPGDH,0
0.902,0.019781247334582485,ADCS,1.0
0.902,0.019781247334582485,ADCL,1.0
0.902,0.019781247334582485,DHAPT,1.0
0.902,0.019781247334582485,UDPGALM,0.0
0.902,0.019781247334582485,TDPDRE,0
0.902,0.019781247334582485,TDPDRR,0.0
0.902,0.019781247334582485,RZ5PP,0
0.902,0.019781247334582485,DURIK1,1.0
0.902,0.019781247334582485,G3PD6,0.0
0.902,0.019781247334582485,ALLTN,1.0
0.902,0.019781247334582485,UAPGR,1.0
0.902,0.019781247334582485,UPPRT,1.0
0.902,0.019781247334582485,NTD9,1.0
0.902,0.019781247334582485,CTPS2,1.0
0.902,0.019781247334582485,NTD1,1.0
0.902,0.019781247334582485,NTD7,1.0
0.902,0.019781247334582485,PAPPT3,1.0
0.902,0.019781247334582485,UAGPT3,1.0
0.902,0.019781247334582485,AOBUTDs,0
0.902,0.019781247334582485,ADNUC,1.0
0.902,0.019781247334582485,GMHEPPA,0
0.902,0.019781247334582485,S7PI,0.0
0.902,0.019781247334582485,TRPS3,1.0
0.902,0.019781247334582485,AGMHE,0
0.902,0.019781247334582485,NTD10,1.0
0.902,0.019781247334582485,GMHEPAT,0
0.902,0.019781247334582485,ADPT,1.0
0.902,0.019781247334582485,IDOND2,1.0
0.902,0.019781247334582485,FADRx,1.0
0.902,0.019781247334582485,GTPDPK,1.0
0.902,0.019781247334582485,NADN,1.0
0.902,0.019781247334582485,GLYCLTDx,1.0
0.902,0.019781247334582485,HPYRRy,1.0
0.902,0.019781247334582485,ACODA,1.0
0.902,0.019781247334582485,ADA,1.0
0.902,0.019781247334582485,DADA,0
0.902,0.019781247334582485,ADD,1.0
0.902,0.019781247334582485,HBZOPT,1.0
0.902,0.019781247334582485,PNTK,1.0
0.902,0.019781247334582485,ADSS,1.0
0.902,0.019781247334582485,AGDC,1.0
0.902,0.019781247334582485,OCTDPS,1.0
0.902,0.019781247334582485,ASNN,1.0
0.902,0.019781247334582485,DPCOAK,1.0
0.902,0.019781247334582485,HETZK,0
0.902,0.019781247334582485,ASNS2,1.0
0.902,0.019781247334582485,ASPCT,1.0
0.902,0.019781247334582485,KDOPS,1.0
0.902,0.019781247334582485,KDOPP,1.0
0.902,0.019781247334582485,DMPPS,1.0
0.902,0.019781247334582485,IPDPS,1.0
0.902,0.019781247334582485,AST,0
0.902,0.019781247334582485,SGDS,0
0.902,0.019781247334582485,CYNTAH,0
0.902,0.019781247334582485,DHDPRy,1.0
0.902,0.019781247334582485,HSK,1.0
0.902,0.019781247334582485,GSPMDA,1.0
0.902,0.019781247334582485,GSPMDS,1.0
0.902,0.019781247334582485,GUAD,0.0
0.902,0.019781247334582485,THRS,1.0
0.902,0.019781247334582485,HSST,1.0
0.902,0.019781247334582485,PPNDH,1.0
0.902,0.019781247334582485,TMAOR1,0
0.902,0.019781247334582485,TMAOR2,0
0.902,0.019781247334582485,TRDR,1.0
0.902,0.019781247334582485,DDPA,1.0
0.902,0.019781247334582485,NMNDA,1.0
0.902,0.019781247334582485,NNAM,1.0
0.902,0.019781247334582485,P5CD,1.0
0.902,0.019781247334582485,FRUK,0
0.902,0.019781247334582485,SPMDAT1,0
0.902,0.019781247334582485,RHCCE,1.0
0.902,0.019781247334582485,KG6PDC,0
0.902,0.019781247334582485,SPMDAT2,0
0.902,0.019781247334582485,TDPADGAT,0
0.902,0.019781247334582485,MALS,1.0
0.902,0.019781247334582485,X5PL3E,0.0
0.902,0.019781247334582485,DOGULNR,0.0
0.902,0.019781247334582485,TRE6PP,1.0
0.902,0.019781247334582485,BETALDHx,0
0.902,0.019781247334582485,BETALDHy,0
0.902,0.019781247334582485,MLTG3,0
0.902,0.019781247334582485,ADPRDP,1.0
0.902,0.019781247334582485,NADTRHD,1.0
0.902,0.019781247334582485,FMNRx2,1.0
0.902,0.019781247334582485,GALS3,0
0.902,0.019781247334582485,FCLK,0
0.902,0.019781247334582485,GMPS2,1.0
0.902,0.019781247334582485,AMPN,1.0
0.902,0.019781247334582485,GSNK,1.0
0.902,0.019781247334582485,GALUi,1.0
0.902,0.019781247334582485,UAAGDS,1.0
0.902,0.019781247334582485,UAMAS,1.0
0.902,0.019781247334582485,UAMAGS,1.0
0.902,0.019781247334582485,UGLYCH,1.0
0.902,0.019781247334582485,NTPP3,1.0
0.902,0.019781247334582485,NTPP6,1.0
0.902,0.019781247334582485,NTPP7,1.0
0.902,0.019781247334582485,OP4ENH,0.0
0.902,0.019781247334582485,HOPNTAL,0
0.902,0.019781247334582485,NTPP8,1.0
0.902,0.019781247334582485,P5CR,1.0
0.902,0.019781247334582485,3HPPPNH,0
0.902,0.019781247334582485,G5SADs,1.0
0.902,0.019781247334582485,GMAND,0
0.902,0.019781247334582485,CYTD,1.0
0.902,0.019781247334582485,AKGDH,1.0
0.902,0.019781247334582485,HPYRRx,1.0
0.902,0.019781247334582485,GLYCDx,0.0
0.902,0.019781247334582485,ASP1DC,1.0
0.902,0.019781247334582485,UGMDDS,1.0
0.902,0.019781247334582485,DCYTD,1.0
0.902,0.019781247334582485,DBTS,1.0
0.902,0.019781247334582485,DCTPD,1.0
0.902,0.019781247334582485,UHGADA,1.0
0.902,0.019781247334582485,AMANK,0
0.902,0.019781247334582485,HISTD,1.0
0.902,0.019781247334582485,DHDPS,1.0
0.902,0.019781247334582485,G1PACT,1.0
0.902,0.019781247334582485,GART,1.0
0.902,0.019781247334582485,CSND,1.0
0.902,0.019781247334582485,GF6PTA,1.0
0.902,0.019781247334582485,IGPDH,1.0
0.902,0.019781247334582485,H2SO,1.0
0.902,0.019781247334582485,GLUCYS,1.0
0.902,0.019781247334582485,PRATPP,1.0
0.902,0.019781247334582485,GLUN,1.0
0.902,0.019781247334582485,GLUPRT,1.0
0.902,0.019781247334582485,GMPR,0.0
0.902,0.019781247334582485,CYSS,1.0
0.902,0.019781247334582485,NADS1,1.0
0.902,0.019781247334582485,BPNT,1.0
0.902,0.019781247334582485,PAPSR,1.0
0.902,0.019781247334582485,DAPDC,1.0
